Short Gene name,p_value
HERC2,0.463542091
RPS14,0.031524788
PCDHGB6,1
TUBGCP5,0.296293562
RSPO3,0.031274309
CYFIP1,0.417461663
NIPA2,0.287609632
ELAVL2,0.705549463
UBE3A,0.113491947
SNHG5,0.843731
CTNNA2,0.891070566
NAP1L5,0.795029699
MYL6B,0.80948488
FLRT3,0.012601622
BOK,0.845880097
BHLHE40,0.871466356
VAT1,0.292675586
TOX,0.452917081
TRIM13,0.155893887
EFNA2,0.834752193
MED8,0.643031925
ASPHD1,0.00097616
EVI5,0.688949366
SNCG,0.083793045
SLC6A15,0.703044705
THAP2,0.618665284
HYPK,0.377835945
SOX8,0.984154611
PSME1,0.447256984
CCNI,0.534737386
NECAB2,0.291152234
TMPO,0.920144755
RPS5,0.036175594
ZNF704,0.985533516
PLCG1,0.83689484
PPP2R4,0.518392489
SNORA22,0.787406618
CABLES2,0.944231109
NANS,0.74728621
HECA,1
SCG5,0.678578905
PCDHB15,0.005757006
ACYP1,0.775219024
CNTN2,0.753228386
PQBP1,0.298312381
PDIA5,0.725214348
MMP17,0.648942089
GPR153,0.872562237
HNRNPA1L2,0.979862382
ETHE1,7.65E-58
PRKCE,1.10E-05
FAM118A,0.161794883
MSH3,0.374868833
NIT2,0.485912313
ARF4,0.217227309
SATB1,0.302944281
ANKRD36B,0.752598044
BCRP2,0.260757355
RMDN3,0.845196691
RNF144A,0.931732471
BCHE,0.968185802
TUBG2,0.729821359
PGM3,0.328399642
TMEM246,0.009621598
TUBA1B,1
BLVRA,0.398396939
HERC2P9,0.432826947
SEMA6B,0.371441004
KLF13,0.540742848
GBA2,0.188081151
MUT,0.666511929
SRPRB,0.379732267
CBR1,0.564622975
COG5,0.68129423
PNPLA4,0.754896067
BLZF1,0.572266957
STAT1,0.860377681
PRPS2,0.563841177
HES5,0.464341745
PIGH,0.547008541
PCDHGC4,0.39810996
SNORA49,1
CSRNP3,0.645116577
RPS6KA3,0.311555045
MTMR10,0.335871519
NKAIN1,0.332172842
PARL,0.087252703
IFT20,0.578875113
NDRG1,0.06704665
ATP1A3,0.713179621
SREBF2,0.140370242
ZBTB46,0.290408878
EMC4,0.456743907
GPR137B,0.857842972
MTHFD1L,0.901415423
ZNF280C,0.670691942
ME3,0.326757146
TMED3,0.000727443
GRB10,4.42E-06
YPEL1,0.964735288
ZNF350,0.518699024
EDEM1,0.768379114
PMM2,0.358538101
LINC00504,0.963125144
CDON,0.897855825
ECE2,0.886456812
POLR2G,0.74855262
RASGEF1B,0.205246711
TMEM132A,0.002371836
F2R,0.198464839
SYT7,1
INA,0.150590632
SEC61A1,0.80425068
PGM2L1,0.536430448
LOC653513,0.612149917
ALG5,0.403480909
ZNF358,0.511813215
CENPW,0.981245642
CD44,2.51E-57
NGFR,0.914110389
FUNDC1,0.9525442
ACP1,0.090921593
TIMM23B,0.741233263
PLEKHB1,0.234401488
UFL1,0.382466367
LOC100129434,0.341859311
GGCT,1
S1PR1,0.608550516
MIR22HG,0.037520288
AMIGO1,0.153713815
ERV3-1,0.682796627
C19orf26,0.776604321
TUBB2B,0.879376193
GCNT1,0.127750047
AES,0.580329611
CLINT1,0.942981778
CNRIP1,0.382102269
ATP2B4,0.505596355
GNG3,0.82763925
N4BP3,0.063241137
TUBB3,0.585674436
CLIP3,0.875136968
ABR,0.601920998
RPF2,0.715121486
H2AFY2,0.896571784
TACSTD2,0.936573034
SEC23IP,0.553601918
SRP68,0.411797895
PRDX2,0.6516189
NEFL,0.850971265
URB1,0.050268148
XKR4,0.575420825
MIR100HG,0.638494371
RFTN2,0.357112556
NDNL2,0.771683961
UGDH-AS1,0.820719618
FAM222A,0.513192177
KLF10,0.536717013
GPR107,0.411797895
DNAJC3,0.185449408
C1QL1,0.97827113
NES,0.099555407
MEX3D,0.00283959
FAM57B,0.372715309
LPCAT4,0.088885459
CHAF1B,0.508954625
CLK2,0.381912807
SOX11,4.26E-17
CPE,0.847437261
SERP1,0.534983746
TMEFF1,0.810122423
TMSB15A,0.991692911
SRP54,0.650105491
CHST2,1
ZFPM2,0.780115361
PSMA5,0.469563538
C7orf13,0.001026813
CKB,0.628502689
EGLN3,0.856201909
CDR1,0.645298307
CELSR2,0.85104679
NEDD4L,0.168781033
SAP18,0.896359345
4-Sep,0.41194517
RARS,0.325157564
GPC2,0.258710447
DHDDS,0.422597878
RIMS3,0.724764485
FAM211A-AS1,0.94142117
NCAM1,0.378867848
CPNE3,3.48E-08
NDRG4,0.549925284
TMEM116,0.43910623
RUSC1,0.423940096
FADS3,0.899242456
TMA16,0.37818448
USP21,0.622926127
KRT10,0.694392537
MAPK8,0.363506142
KLHL42,0.795623665
NR2F1,5.47E-06
SSX2IP,0.156856012
SLC25A26,0.267721897
SMC5,0.16956179
KCNG1,0.019766427
XBP1,0.845514368
GCA,0.210835365
SDF2L1,0.352590508
EFNB2,0.566095008
BTBD2,0.730571269
DZIP1,0.573370206
LINC00263,0.572368559
SNORA84,0.734752921
PGRMC2,0.833142616
RINT1,0.798391502
SLC5A12,0.990413811
PHF21B,0.795432779
FKBP9,0.13839384
PPP1R1A,0.701420496
ZNF562,0.858247179
SEMA6C,0.552741599
FDPS,0.726526367
HEIH,0.829840888
ACLY,0.059041773
NOL10,0.729734911
ALKBH2,0.727234688
DPH6,0.63063071
CRMP1,0.313534599
ANKFY1,0.881491207
TUBB2A,0.446241428
MAST1,0.639713497
GAS5,0.701667919
CTSV,0.429534297
PPP1R1B,0.833142616
RP11-453F18__B.1,0.049070857
EPB41L4A,0.433183128
CDK9,0.001737714
WRN,0.44520747
VIMP,0.613720145
TMF1,0.898725014
COPB2,1.46E-49
ABCC9,0.270906811
CIR1,0.78244083
LOC101927720,0.274488219
GPC4,0.9525442
RRP7B,0.357699651
LOC101926895,0.790502345
COG3,0.77580076
PREX1,0.833763255
DLGAP4,0.046627004
GDPD5,0.296066553
MFSD10,0.310634195
TYW1,0.785283688
NEFM,0.820702179
FAM69B,0.867665103
LZTS3,0.78262445
IRX2,1
HES6,0.088108505
DIS3,0.963694156
MAP6,0.815586111
METTL1,0.140746832
CCDC92,0.811093184
OSBP,1
SDC3,1
CRABP1,0.450589314
PPP1R14B,0.007726691
NBL1,0.849491409
SACS,0.872793162
CACNA1H,0.78508496
GORASP2,0.647187283
NDUFA10,0.767846208
KIF21B,0.868026825
ZNF585B,0.907590575
SUGT1,0.002297234
HERPUD1,0.447873475
SNORD116-15,0.981156081
UROS,0.853586835
ALKBH3,0.775107136
BCLAF1,0.000913291
TFRC,0.535627059
OGFOD1,0.603140945
HMGN2,0.953575358
MED6,0.817733829
GOSR1,0.123886145
MLLT11,0.363507828
AUTS2,0.29964665
TRIM36,0.335562148
CYTH3,0.000340434
MRPS28,0.732156124
INSM1,0.803748953
DNAJB11,0.73764281
EBNA1BP2,0.997340152
CPT1B,0.949528884
ATXN7L2,0.955251032
SLC35E2B,1
YKT6,0.936946445
KCNQ2,0.408893104
PRKACA,0.01099963
TOMM6,0.866060699
SDE2,0.599591217
TBPL1,0.192668272
HSPA12A,0.971137412
LOC642852,0.853930034
KIAA1211,0.574933083
XPO4,0.790854923
UBQLN4,0.913933396
RUNDC3A,0.552368563
FGFBP3,0.956593574
CLSTN1,0.487572209
SUMO2,0.981177863
LARP1B,0.25718026
GOLGA5,0.465385474
CCDC50,1
BAHCC1,0.153980246
ZNF528,0.735892334
CHMP4A,0.620128014
CREB3L4,0.756975566
HLCS,0.736666277
TANK,7.38E-138
FBLL1,0.29764106
ARHGAP35,0.389228116
MAMDC4,0.724062936
KIF3C,0.633974333
NUDT4,0.007612597
PLP1,1
MORF4L2,0.720274844
AMER2,0.781645834
OGG1,0.769876895
HKR1,0.824266061
EEF1B2,0.393403241
MTCH1,0.343620412
CDH10,0.83093394
ACBD3,0.230557348
PSMA3,0.278293149
GPM6A,0.2183607
PNMA3,1
PEBP1,1
EEF1A2,0.979007932
LRWD1,0.324311928
MDM2,0.424694026
IRAK1BP1,0.02272543
SRRT,0.837403082
MPP5,0.879499771
SYNGR1,0.950562259
PAICS,0.89475831
ZNF536,0.001942846
EBF1,0.326530384
ABCA2,0.996502771
PSMD14,1
BTG3,0.925859034
PNMAL1,0.504786959
CDYL,1
GNL3,0.803953743
RTN1,0.060189019
SNORD116-16,0.30409307
ZNF44,0.916205376
PTPRS,0.366961718
BMP2,0.793218423
C7orf55-LUC7L2,0.014443517
LINGO1,0.01501958
LOC100419583,0.235015854
METTL10,0.971137412
UBE2D4,0.653025071
RPL21,0.848575247
PNMA1,0.294512451
CHST1,0.159820839
PSMA6,0.854515459
PI4KAP1,0.690601708
TULP3,0.376475177
ZIC3,1
SERPINI1,0.70506985
SPDL1,0.257658382
PSMB7,0.01205553
SEC61G,1
FIGN,0.745941239
LPAR2,0.163593678
PALM,1
FBXL16,1
BRSK1,0.434030344
LRRC59,0.375072011
COTL1,0.96851509
