Short Gene name,logFC,logCPM,PValue
HERC2,-0.221922801,3.655835206,0.473153523
RPS14,0.645122256,4.203506635,0.05101655
PCDHGB6,0.03020854,4.088971887,1
TUBGCP5,-0.337958072,3.577209236,0.258335649
RSPO3,0.724692874,3.693696567,0.058702381
CYFIP1,0.255740508,4.094210668,0.473126268
NIPA2,0.277233142,4.79975735,0.277985467
ELAVL2,0.116448666,4.581867805,0.708815015
UBE3A,-0.361637743,5.063383159,0.146598205
SNHG5,-0.041139714,5.664076385,0.839979188
CTNNA2,-0.033846994,4.865885991,0.882351933
NAP1L5,0.072718474,4.359204161,0.777174473
MYL6B,-0.084770195,4.085145298,0.796914965
FLRT3,0.755113724,4.054789049,0.111513778
BOK,-0.045161219,5.539068874,0.850134331
BHLHE40,0.069467188,3.958322106,0.851817622
VAT1,-0.300836512,4.10378424,0.294535509
TOX,0.216985644,4.545623732,0.472817076
TRIM13,0.474825686,3.615256354,0.186019076
EFNA2,0.07530604,3.998432907,0.804021868
MED8,-0.088554991,8.400820491,0.740095379
ASPHD1,-0.803729741,4.376099308,0.022327249
EVI5,0.151446727,3.678135577,0.654446838
SNCG,-0.344067373,7.066589311,0.232036082
SLC6A15,-0.079709794,6.262520644,0.704652347
THAP2,-0.109265543,5.264749679,0.625623846
HYPK,0.266224409,4.022353281,0.377252962
SOX8,0.055775831,3.174640755,0.974511659
PSME1,-0.188163423,4.348412748,0.421110089
CCNI,-0.164559581,4.494108953,0.564905952
NECAB2,-0.201245213,10.36628088,0.251925407
TMPO,0.072689887,3.319797638,0.908500219
RPS5,0.737642461,3.424124227,0.035594855
ZNF704,0.032896647,3.229914709,0.981760926
PLCG1,-0.048594083,4.880354803,0.834101352
PPP2R4,-0.215838745,3.494421076,0.475747638
SNORA22,-0.075916395,4.196450475,0.793344593
CABLES2,-0.051038955,3.301942825,0.945034639
NANS,-0.08060764,4.711833113,0.737648413
HECA,0.012274119,5.017629963,1
SCG5,0.174376298,3.518900188,0.675627539
PCDHB15,0.927381564,3.799672925,0.100291927
ACYP1,0.07264043,5.311705869,0.796398717
CNTN2,0.109513497,4.198635511,0.763386345
PQBP1,-0.305721274,3.670664299,0.26911489
PDIA5,0.100237989,4.398697693,0.725656844
MMP17,0.16689974,3.405796529,0.625338607
GPR153,0.096299972,3.197560507,0.850034451
HNRNPA1L2,-0.032636307,3.649773904,0.983793851
ETHE1,-2.927262479,7.745629794,0.210115459
PRKCE,-1.039857009,4.469821654,0.002901396
FAM118A,0.339464268,5.076636293,0.157129944
MSH3,-0.197024561,5.723413522,0.372979528
NIT2,0.223245799,3.741981598,0.437932381
ARF4,-0.281534824,5.085014502,0.214275944
SATB1,0.225005292,6.479536993,0.314373483
ANKRD36B,-0.081875409,3.947411341,0.732237851
BCRP2,-0.276324821,4.553779563,0.254160651
RMDN3,0.079343469,4.238191457,0.840985167
RNF144A,-0.009415104,4.316677793,0.947688436
BCHE,-0.011692385,4.645322938,0.968413004
TUBG2,-0.109932095,3.538807534,0.722042463
PGM3,0.274138873,4.310428551,0.279253003
TMEM246,-0.689768269,3.956808853,0.159536001
TUBA1B,0.013700445,4.87590411,1
BLVRA,-0.239537926,4.262934322,0.432508659
HERC2P9,0.209877134,4.678122695,0.4717835
SEMA6B,0.242561022,4.584898561,0.390304101
KLF13,-0.227803864,3.321042638,0.554142366
GBA2,-0.330639253,4.562691258,0.174774988
MUT,-0.102693343,4.81963611,0.685435453
SRPRB,0.185617016,7.405386271,0.368479488
CBR1,-0.127174462,5.340526755,0.59741497
COG5,-0.156674365,3.293023045,0.648706959
PNPLA4,0.106953779,3.762467057,0.742103315
BLZF1,-0.132687528,5.100120889,0.560605613
STAT1,-0.061271543,4.018204616,0.852124121
PRPS2,0.129234706,6.325461039,0.637585162
HES5,0.255161383,3.622075455,0.466826987
PIGH,0.275023477,3.169822274,0.49386605
PCDHGC4,-0.188715277,5.128830959,0.389412012
SNORA49,0.026268041,3.637951153,0.990481886
CSRNP3,0.119828252,5.052410176,0.635648476
RPS6KA3,0.346487872,3.795392983,0.332705359
MTMR10,-0.354308197,3.166591189,0.300854849
NKAIN1,0.382544736,3.380859592,0.327947803
PARL,0.596072378,3.504618955,0.111290987
IFT20,-0.106897371,7.593857622,0.624079753
NDRG1,-0.638780351,3.220618723,0.093080299
ATP1A3,0.134144261,3.98902726,0.717223211
SREBF2,0.575682051,3.29003281,0.241182884
ZBTB46,0.320740799,4.138919445,0.43733344
EMC4,-0.164047825,5.698474171,0.457385672
GPR137B,0.146266404,3.075973684,0.854607736
MTHFD1L,0.03460779,6.407565269,0.916168791
ZNF280C,0.157528853,3.372802824,0.641678919
ME3,-0.283137963,3.883225079,0.489050289
TMED3,-1.340413756,2.752208735,0.009478586
GRB10,1.430813682,4.204793304,0.033160508
YPEL1,0.041087372,3.571707515,0.986863913
ZNF350,0.277364725,3.274843221,0.539035342
EDEM1,0.100692582,4.473355484,0.797236027
PMM2,-0.175830666,9.25176738,0.433824932
LINC00504,-0.021727315,4.201748904,0.963127217
CDON,-0.054273951,3.597137909,0.922640857
ECE2,0.062026183,4.314429908,0.861040501
POLR2G,-0.059051219,8.660219058,0.766841717
RASGEF1B,0.398077071,3.863637919,0.396936827
TMEM132A,0.856017519,4.436322708,0.038759115
F2R,-0.444453196,3.291200284,0.230193627
SYT7,0.002295358,3.413863968,1
INA,0.43069646,4.006432766,0.113332565
SEC61A1,-0.055548805,5.543106419,0.79280357
PGM2L1,-0.139627606,5.571487542,0.548649494
LOC653513,-0.157004119,3.57668994,0.578957832
ALG5,0.284412416,3.826267717,0.342214196
ZNF358,-0.238646234,3.308862173,0.49138291
CENPW,-0.01622262,4.470527752,0.978994096
CD44,8.17848257,5.950254844,0.253254949
NGFR,-0.065409182,3.373936059,0.91192096
FUNDC1,-0.028584165,3.607038754,0.952892534
ACP1,-0.496554303,3.720933387,0.102707285
TIMM23B,-0.120323323,3.603967826,0.749350544
PLEKHB1,-0.282865583,4.84962147,0.233955684
UFL1,-0.194253814,5.45006365,0.345729473
LOC100129434,0.373003619,3.402700149,0.336499356
GGCT,0.001911841,3.945928733,1
S1PR1,-0.172174702,3.6602215,0.66086343
MIR22HG,-0.540560925,4.12679756,0.040646985
AMIGO1,-0.286469468,6.842528964,0.159434791
ERV3-1,0.126661914,4.408669272,0.655222714
C19orf26,-0.055833837,7.036547367,0.804587094
TUBB2B,0.067207246,4.036826271,0.865292905
GCNT1,-0.51087058,3.185907782,0.123075653
AES,-0.123791931,5.319589306,0.568864892
CLINT1,0.052121401,3.682093375,0.936762222
CNRIP1,-0.201121485,5.075157356,0.462171611
ATP2B4,0.210788283,4.138826853,0.509253363
GNG3,0.059823602,4.793319203,0.879296563
N4BP3,-0.372913442,6.701148345,0.103838835
TUBB3,-0.138422577,4.696946556,0.551722191
CLIP3,-0.063332078,3.285679974,0.876102246
ABR,-0.160429934,3.800889721,0.610864808
RPF2,-0.093935321,4.346207466,0.703341238
H2AFY2,0.07072085,3.42801435,0.926740631
TACSTD2,-0.026912865,4.461718073,0.937526294
SEC23IP,-0.130123552,5.402500241,0.541643835
SRP68,0.22930601,4.163956603,0.359970902
PRDX2,-0.09225984,6.264461378,0.774270387
NEFL,0.065627137,4.677551552,0.877295469
URB1,-0.554370637,3.878082991,0.075458465
XKR4,-0.114721777,6.019864664,0.603498887
MIR100HG,-0.139069867,4.189971745,0.629922132
RFTN2,-0.198504127,5.732307997,0.356124186
NDNL2,0.181768044,3.245810803,0.694084511
UGDH-AS1,0.111026337,3.543490015,0.741771042
FAM222A,0.172098111,4.937116323,0.519713494
KLF10,-0.135901267,5.387976198,0.574859607
GPR107,0.236094542,4.161959523,0.401658878
DNAJC3,-0.337195422,4.325235175,0.171995312
C1QL1,-0.012617172,3.253593736,0.984854504
NES,0.538252595,3.922069048,0.115271779
MEX3D,-0.639280742,5.482164179,0.030039245
FAM57B,-0.32184876,3.203372405,0.403507263
LPCAT4,0.530690336,3.972524696,0.367642239
CHAF1B,0.171139224,5.145383478,0.642564342
CLK2,0.198903755,6.166164423,0.354416664
SOX11,5.485543462,3.6134131,0.281169317
CPE,0.046624098,6.704769855,0.855650232
SERP1,-0.129600039,5.861018463,0.539407661
TMEFF1,-0.103385178,3.530800559,0.800032427
TMSB15A,0.003041235,3.53083874,0.999745812
SRP54,0.158914467,4.195319781,0.593355679
CHST2,8.76E-05,5.022137882,1
ZFPM2,-0.082749113,3.856531411,0.7698704
PSMA5,0.211967516,4.340138314,0.469311401
C7orf13,0.697572946,7.757392625,0.404270396
CKB,0.142924902,4.527582772,0.653763298
EGLN3,0.07339244,3.598727909,0.847942803
CDR1,0.16934695,3.598941673,0.642690977
CELSR2,0.063553794,3.557494399,0.926478451
NEDD4L,0.287441585,7.944144805,0.234312379
SAP18,0.048075898,4.001792065,0.888745552
4-Sep,-0.183755793,5.236824857,0.425755716
RARS,0.273680513,4.44891556,0.345652207
GPC2,0.33645682,4.046420286,0.270794665
DHDDS,-0.253283693,3.650900438,0.439487576
RIMS3,0.125914891,3.729988031,0.713328725
FAM211A-AS1,-0.026399013,4.627014204,0.942761536
NCAM1,0.295075163,3.711648858,0.412191832
CPNE3,-1.024934085,11.78045922,0.015626565
NDRG4,0.16440934,4.606598213,0.610668595
TMEM116,-0.164139474,6.025911286,0.465707806
RUSC1,-0.209646676,4.270475487,0.562063239
FADS3,0.065014351,3.776849345,0.859825839
TMA16,0.357133511,3.500758025,0.414688874
USP21,-0.09898859,6.390482326,0.62858559
KRT10,-0.10077824,4.607764456,0.699178195
MAPK8,0.212904301,5.672717426,0.530840704
KLHL42,-0.064412406,4.89941936,0.799543638
NR2F1,-0.922647007,6.013241385,0.024471385
SSX2IP,0.383033317,4.646580132,0.220724602
SLC25A26,0.315971658,4.442224005,0.400128209
SMC5,0.43816073,3.812800539,0.532660188
KCNG1,-0.497518062,5.539984048,0.122011519
XBP1,0.080809173,3.508162943,0.842632196
GCA,0.385224575,4.166620518,0.258310918
SDF2L1,0.234846401,4.925795201,0.479262929
EFNB2,0.152737795,4.782632475,0.597834376
BTBD2,-0.096540282,4.352487363,0.726116629
DZIP1,-0.158227533,4.180009074,0.566095848
LINC00263,-0.136222264,4.810737569,0.619935585
SNORA84,-0.06680495,6.860076394,0.758169081
PGRMC2,-0.060888463,4.136200216,0.817654518
RINT1,-0.058308296,5.370866754,0.851687161
SLC5A12,0.015855829,3.456514571,0.982237437
PHF21B,-0.071061686,3.803183033,0.775043129
FKBP9,-0.39157582,4.197496455,0.21015503
PPP1R1A,-0.114328893,3.655840548,0.666730029
ZNF562,-0.036198177,5.759561236,0.863285133
SEMA6C,-0.158231259,4.214400056,0.578946941
FDPS,0.169388742,3.484287453,0.689495111
HEIH,0.060533057,4.714191229,0.816921987
ACLY,-0.439363479,4.841995501,0.124696236
NOL10,-0.118747968,3.807962206,0.721148176
ALKBH2,-0.159501314,3.029130035,0.704462799
DPH6,-0.180738643,3.332999802,0.66123401
CRMP1,0.279679261,4.357441445,0.314439523
ANKFY1,-0.047307276,3.727794794,0.872157845
TUBB2A,-0.247091413,3.411138104,0.42804256
MAST1,-0.140220093,4.125347107,0.697123466
GAS5,-0.075715917,6.945017222,0.699162887
CTSV,0.21687435,4.668132239,0.457822506
PPP1R1B,-0.082095263,4.136405798,0.844624796
RP11-453F18__B.1,0.424159078,6.891777263,0.184056087
EPB41L4A,0.338078578,3.401738726,0.433107644
CDK9,-0.714834918,4.900299568,0.578669607
WRN,-0.229665794,3.833633185,0.422710522
VIMP,-0.102199121,6.471824891,0.60018557
TMF1,-0.112673762,3.124273803,0.898996221
COPB2,7.741876866,5.546747416,0.254414493
ABCC9,-0.28468818,4.251069399,0.3445263
CIR1,-0.051794582,6.02379282,0.783283609
LOC101927720,-0.419442628,3.175495229,0.311768164
GPC4,-0.022040896,3.604147976,0.95358779
RRP7B,0.197967934,7.108577795,0.466627049
LOC101926895,-0.082813752,3.769578182,0.780454669
COG3,0.078185714,4.519099897,0.799935236
PREX1,-0.058797152,4.308572188,0.847748327
DLGAP4,0.6371877,3.856691264,0.068550314
GDPD5,0.366359491,3.394870577,0.259804272
MFSD10,0.222030345,6.699861532,0.510809832
TYW1,-0.079666293,3.730239026,0.782501647
NEFM,-0.041829598,6.308140118,0.826292378
FAM69B,0.07414099,4.289628277,0.878547221
LZTS3,0.105037282,3.924897284,0.760430793
IRX2,-0.009294658,4.097263785,1
HES6,-0.351124277,6.314835251,0.268348745
DIS3,-0.006251734,7.04481859,0.958257852
MAP6,-0.049479148,4.88455636,0.813624349
METTL1,0.324404215,6.230770442,0.218244238
CCDC92,-0.059660178,4.635844767,0.797118388
OSBP,0.016619776,4.05919699,1
SDC3,0.03217613,3.357771993,1
CRABP1,-0.255081436,3.621611307,0.51826649
PPP1R14B,0.727867931,4.601766788,0.122445607
NBL1,-0.038702724,5.415932705,0.853855991
SACS,-0.082860868,3.257898845,0.866469495
CACNA1H,0.101018883,3.655500107,0.764130276
GORASP2,0.191636207,3.508323423,0.618774438
NDUFA10,0.064759871,8.249331139,0.817773023
KIF21B,0.077514952,3.92638632,0.867667686
ZNF585B,0.034971096,5.862492094,0.954820549
SUGT1,-0.770165181,4.150928035,0.007926534
HERPUD1,-0.161870847,5.909560178,0.473158659
SNORD116-15,0.01985752,4.111413467,0.974283748
UROS,0.128306276,3.049299324,0.823513872
ALKBH3,-0.098407367,3.478171528,0.760865893
BCLAF1,-0.641410865,7.868917234,0.008190307
TFRC,0.223276594,3.771729068,0.527274339
OGFOD1,-0.160760468,3.886439751,0.577634053
HMGN2,0.024451622,4.670724279,0.959416174
MED6,0.067938494,4.715923747,0.814108924
GOSR1,-0.470254565,3.633393557,0.113860025
MLLT11,0.279406444,4.062473837,0.438258346
AUTS2,0.336826956,3.500210095,0.719132141
TRIM36,0.301506602,3.980173028,0.362777555
CYTH3,-1.139640618,3.647946988,0.451970951
MRPS28,0.116596957,3.988925612,0.707517377
INSM1,-0.067532021,4.569656513,0.809918661
DNAJB11,-0.090094944,5.055819291,0.811590801
EBNA1BP2,0.011039628,4.980924517,0.997509946
CPT1B,0.050210502,3.238482868,0.943519416
ATXN7L2,0.042745364,3.944173621,0.945372148
SLC35E2B,0.001117273,3.616873759,1
YKT6,-0.012377985,6.625044707,0.94347359
KCNQ2,-0.162054633,7.476848197,0.501660085
PRKACA,-0.75656197,3.536777387,0.025462526
TOMM6,0.042947661,5.606118676,0.864334709
SDE2,0.128882797,5.364219802,0.596463106
TBPL1,-0.329002073,4.371352967,0.3213855
HSPA12A,0.058640753,3.758762085,0.958435668
LOC642852,-0.074521975,3.405470389,0.871405074
KIAA1211,0.168516825,4.269645307,0.609931635
XPO4,0.178260873,3.150388242,0.747745877
UBQLN4,0.062931922,3.243207541,0.897395235
RUNDC3A,0.141524211,4.943412109,0.841799924
FGFBP3,0.025247725,5.44528087,0.96493282
CLSTN1,0.261766135,3.415349658,0.420682689
SUMO2,-0.008887459,4.404538348,0.999401545
LARP1B,0.448568777,3.099361906,0.193855335
GOLGA5,0.165143523,6.171374283,0.546911679
CCDC50,0.002163866,4.070788469,1
BAHCC1,0.509231432,3.400137035,0.122170707
ZNF528,-0.114539701,3.843450467,0.707807908
CHMP4A,0.154641413,4.140114992,0.636531644
CREB3L4,-0.09705151,3.177246933,0.733456774
HLCS,0.094247237,4.206046129,0.710074576
TANK,-8.483232847,4.836442784,0.00133366
FBLL1,-0.277171448,4.181851575,0.328163545
ARHGAP35,-0.166245686,8.477683238,0.452763325
MAMDC4,-0.087521575,4.909725368,0.710726169
KIF3C,0.17994276,3.553360726,0.579885244
NUDT4,-0.70496963,4.043375714,0.009052408
PLP1,-0.002039188,4.077932703,1
MORF4L2,-0.124712855,3.87739216,0.702219561
AMER2,0.097127481,3.635751752,0.78879325
OGG1,-0.088223625,4.190197408,0.779138109
HKR1,-0.063056351,4.508398871,0.800835453
EEF1B2,0.177438684,8.431889844,0.527671266
MTCH1,-0.306811261,3.467494089,0.32530713
CDH10,-0.058573855,3.474879047,0.827479465
ACBD3,0.302897478,4.932648588,0.280094786
PSMA3,-0.214587875,7.458973791,0.319481917
GPM6A,-0.264725695,5.695746556,0.30037595
PNMA3,0.030065824,3.627008625,1
PEBP1,0.019761311,3.4766237,1
EEF1A2,-0.046032977,3.402592053,0.948019575
LRWD1,-0.205938218,6.304682686,0.357503649
MDM2,0.222220998,4.393616143,0.431347093
IRAK1BP1,-0.44406792,7.834978738,0.157907727
SRRT,-0.075368143,3.247017664,0.842248558
MPP5,-0.055744415,3.336082818,0.870069102
SYNGR1,0.060218581,3.837265964,0.946059719
PAICS,0.037420865,6.164099385,0.914379497
ZNF536,-0.91446642,3.547179205,0.064026614
EBF1,0.272181019,4.562557636,0.370050128
ABCA2,-0.000518694,4.427371733,0.995441799
PSMD14,0.005861233,4.870399447,1
BTG3,0.027749876,5.018441067,0.926780578
PNMAL1,0.225300659,3.608392206,0.499112675
CDYL,0.022583295,3.95991347,1
GNL3,0.067921921,5.601147766,0.799379783
RTN1,0.70473819,3.442124225,0.163575318
SNORD116-16,-0.345255732,3.456825027,0.28777336
ZNF44,0.065875697,3.670057608,0.902543789
PTPRS,-0.182344252,6.706304753,0.374323846
BMP2,-0.057348726,5.26293214,0.79871302
C7orf55-LUC7L2,0.981238428,3.313588958,0.052709686
LINGO1,0.519372197,7.3171227,0.044448388
LOC100419583,-0.226322178,11.11008176,0.215646655
METTL10,0.051980581,3.761319979,0.931866935
UBE2D4,0.190322354,3.524066745,0.641872286
RPL21,-0.083368817,3.886733379,0.837891294
PNMA1,0.271402508,4.712254348,0.360034193
CHST1,0.404478179,4.364589713,0.250355863
PSMA6,0.07631758,3.336815788,0.84209512
PI4KAP1,-0.186677932,3.19642429,0.664815759
TULP3,-0.278272725,3.615846683,0.36350156
ZIC3,-0.005625928,4.602781947,1
SERPINI1,-0.100925583,4.529404265,0.69311549
SPDL1,0.242911821,7.098143777,0.324119515
PSMB7,-0.485388925,8.592214163,0.644572745
SEC61G,-0.004174789,3.432270838,0.99437347
FIGN,0.083471393,5.086888497,0.733431154
LPAR2,0.423234672,3.942185156,0.310596592
PALM,-0.029337425,3.847725143,1
FBXL16,-0.00555814,3.130924308,1
BRSK1,-0.230076433,4.049120873,0.435489711
LRRC59,0.23682097,4.595460145,0.340977202
COTL1,0.031120419,4.725660335,0.961936674
LOC100379224,0.415788156,3.809350376,0.274871453
TIMM21,0.093446969,4.55065077,0.754120964
FBXO31,-0.836160337,6.521551189,0.031624692
PARN,-0.074623874,8.45723235,0.751792713
LLPH,-0.145551698,4.260455561,0.583208295
LPPR3,-0.08678523,4.583466513,0.753032478
P4HB,0.458321619,7.297304228,0.121672117
SLC41A3,0.106857017,3.251295727,0.845596506
STX4,-0.01611123,3.934235388,1
IGLON5,-0.22765116,4.829066878,0.461311921
HNRNPA1,0.250124644,4.361938418,0.391308029
AP3B1,-0.008689797,5.194696368,0.943396151
CHCHD7,-0.468762304,10.9911633,0.331031804
SOGA3,-0.412036986,3.7396904,0.382046012
RPL9,-0.099902109,4.163818489,0.708826166
EIF5A,0.151174015,4.008940482,0.613796074
FAM222B,0.116836167,7.446201289,0.675551428
COPZ1,0.120763681,3.953504738,0.701681497
CASP3,-0.258289443,3.410148118,0.431072506
RPL36AL,-0.185290873,4.677540333,0.454290161
C16orf45,-0.102194339,4.070234427,0.71716578
FAM171A2,0.064261485,5.793475475,0.789617756
DAGLA,0.067939725,4.277389201,0.850367925
NSMCE1,-0.084923895,3.272640362,0.83414191
PRMT10,0.239038592,4.021411949,0.461772733
SAT2,0.155159713,5.317253472,0.589475345
NUCB2,0.160713438,3.426646251,0.638471777
MAP3K13,0.068501986,4.672653682,0.82984293
OSER1-AS1,0.13065987,3.506059335,0.723696738
CLSTN3,0.26138399,3.583399376,0.408463221
LINC00506,-0.160040724,3.518127862,0.592783535
DUSP6,0.054537803,3.539161084,0.939816259
CDC40,-1.086469344,3.320689225,0.023389138
DTX4,-0.105799819,6.66361593,0.619449178
TCF12,0.680050976,10.34238468,0.390112072
SPRED1,0.070416738,3.604078926,0.92416088
CREB3,1.313263937,3.060210569,0.254578282
FBXO10,-0.068034669,4.109904877,0.779709115
SSBP1,-0.04098319,3.989647337,0.874116639
CACNG4,0.041271421,8.622785728,0.882800763
SENP2,0,2.08845903,1
SEC13,0.00845668,3.999100073,1
SCFD1,0.551622161,4.331472711,0.083957798
MEX3A,-0.308215221,3.839102881,0.321981179
MARCKSL1,-0.187496152,4.411148207,0.508244929
PRPSAP1,-1.378210603,10.48584241,0.023678572
ZNRF1,-0.216422591,5.741484819,0.333499465
RPL28,-0.249005545,4.076556719,0.429496416
ARPC5L,0.008237998,3.228993867,1
NFE2L2,0.030293653,3.809776462,0.995574245
TMEM55A,0.942641089,9.920179385,0.582468059
PPAPDC2,0.351564539,4.388594879,0.184479582
USF2,0.102063247,3.205809443,0.856985399
FANCF,-0.126891652,7.042694401,0.548980877
REEP2,-0.097241497,3.232844294,0.858888167
PCDHGB7,-0.055020772,4.816775013,0.812793382
SLC25A29,0.253872955,4.254408456,0.406757686
3-Sep,0.000613092,3.277747964,1
BNIP2,-0.009369361,5.23517925,0.964294508
ARFGAP3,0.187394297,4.434122369,0.501669584
ALYREF,-0.059809532,3.521714325,0.861684239
SLC17A5,-0.21021228,7.812457064,0.478332394
UPF3A,0.177877983,3.574025117,0.777241751
SBK1,0.404746068,4.523373446,0.190903771
NRARP,-0.054432126,5.077778463,0.850442933
MTSS1,0.319882821,4.076930682,0.250129403
UG0898H09,0.132819263,3.225391959,0.822999664
PTPLB,-0.162536943,4.024957963,0.57984369
MEGF8,0.526541403,3.577231535,0.260702031
MRAS,-0.196550864,10.79865723,0.586845575
NOP58,-0.133485022,6.150094739,0.518064623
6-Sep,-0.031292208,4.509553554,0.937459229
KDELR2,-1.250615492,3.316953426,0.004217715
NCS1,-0.279087727,4.56125134,0.259229136
FBXW8,0.164550516,7.707334792,0.514025787
HSPA5,-0.279202366,5.335997082,0.286220764
FAM53C,-0.028690509,6.602710296,0.889507896
TXNDC11,-0.096983888,4.728944924,0.694462776
CERS5,-0.176726515,5.392857701,0.389065418
TYMS,-0.051426323,3.72376516,0.954880721
C1orf27,-0.019676427,4.923729552,0.926826076
RALGDS,0.056842549,5.11049759,0.865494288
ACADVL,0.341254582,3.529021494,0.334279441
SCARNA7,-1.346759336,3.549289316,0.003317798
PODXL2,-0.627061948,4.053863898,0.065944527
ADSL,0.114559166,5.349362314,0.678459436
HIST1H3A,-0.33764106,4.072079174,0.179171203
TPM3,-0.231974842,5.256868487,0.382008755
DRG1,-0.146264541,5.391377593,0.498684018
ZNF862,0.085582173,3.312248678,0.837603934
SNORA71D,0.249304584,3.747346422,0.43923017
ZNF77,-0.405054073,4.77703812,0.086770311
NFE2L3,-0.018830483,4.517832525,0.922223096
NXF1,-0.048920556,5.06119235,0.857765561
PCSK5,0.172007936,3.55881299,0.72956293
RDH13,-0.531325384,4.877214224,0.083433638
FH,-0.11502972,4.437294046,0.699215102
OSGEP,0.199240288,3.272387672,0.637135672
LARP7,0.009787703,3.46110703,1
DCLK1,0.061682451,4.231355943,0.865671893
NHP2L1,0.16990877,3.567267394,0.562423104
SNORD116-20,0.10089004,4.861705154,0.817600568
TRAK1,0.021291594,3.250421109,1
P4HA1,0.219669944,3.034521279,0.571478037
SYF2,0.256351985,3.811222462,0.48207854
HSPB2,-0.263949197,6.52398849,0.248705339
DNAJC25,0.148960441,4.176626804,0.656718868
NKD2,0.131897207,7.826956643,0.581688002
BIN1,0.129871685,3.16394279,0.843865232
LRIF1,-0.229963211,3.304046869,0.586961378
SLC35F1,-0.583267955,3.215667111,0.114963141
FRMD4B,-0.081589734,12.59077479,0.735433741
RIOK2,0.106389934,3.534086131,0.80629194
LINC01000,0.425187093,3.116360932,0.358223345
KRR1,-0.393738819,6.290421257,0.496089774
ZNF608,-0.151781476,3.270516979,0.622240291
ZBTB10,-0.200960163,3.987159607,0.576295773
RIMS4,0.177395697,7.439280315,0.761133515
UAP1,-1.085507962,6.003895409,0.004095089
GPRIN1,0.028302652,7.246758636,1
ZFAS1,-0.26883877,4.340147434,0.280499681
RND2,0.124152745,5.430966156,0.611387606
SND1,-0.019996443,6.089062496,0.90258885
RAB3B,0.201169238,3.4895183,0.59622817
OLFM1,0.160456998,3.927078611,0.68106555
KIF1A,-0.356778499,4.092268812,0.192730989
DOC2B,-0.128219487,5.815705365,0.60520502
HOMER2,-0.197390582,6.757669758,0.329365269
MSI1,-0.07062219,5.614248866,0.740366164
CYTH2,-0.061190308,6.079477444,0.824854513
ADD2,-0.000244631,5.470203246,1
RAMP1,-0.024967025,4.099201511,0.962318925
NBPF8,0.285077,5.171719837,0.284227719
RUNDC1,0.033852924,3.586637235,1
COL11A1,0.477376793,13.2636285,0.227789604
AMD1,0.21287977,3.298286178,0.582782385
LSM11,-0.35359778,3.126122517,0.367105859
TXNL4B,-0.116144006,5.004324304,0.587298127
MFSD1,0.002523091,7.676276624,0.995510282
KCTD17,0.052607334,5.145732388,0.861707784
HEATR3,-0.121223953,3.815545222,0.754411423
DAD1,-0.114641379,5.387706545,0.574278926
LRRC1,-0.064030756,4.273537525,0.85414635
MAP4K4,0.007854109,4.35536717,1
PES1,-0.048736451,4.516706692,0.863396955
ZNF232,0.147118277,3.558542758,0.670002159
DPY19L3,0.139284012,4.003254386,0.696989967
SOX4,0.348053358,3.327313686,0.336573545
ATG7,0.474257959,4.011491519,0.26810944
TMEM170B,-0.052192015,3.621997289,0.92424366
ADAMTS2,-0.017890966,3.33821802,1
KCNK15,0.077450169,3.162236522,0.899720581
