"Gencode Id","Gene Symbol","Median TPM"
"ENSG00000248527.1","MTATP6P1","4122.8"
"ENSG00000132639.12","SNAP25","3165.6"
"ENSG00000166165.12","CKB","1623.2"
"ENSG00000143933.16","CALM2","1496.8"
"ENSG00000142541.16","RPL13A","1381.7"
"ENSG00000111674.8","ENO2","1321.0"
"ENSG00000111640.14","GAPDH","1259.1"
"ENSG00000198668.10","CALM1","1259.1"
"ENSG00000075624.13","ACTB","1239.8"
"ENSG00000142534.6","RPS11","1205.8"
"ENSG00000089220.4","PEBP1","1182.4"
"ENSG00000163682.15","RPL9","1139.0"
"ENSG00000253230.8","LINC00599","1117.7"
"ENSG00000167658.15","EEF2","1083.5"
"ENSG00000087086.14","FTL","1054.8"
"ENSG00000100316.15","RPL3","1047.0"
"ENSG00000231500.6","RPS18","1037.3"
"ENSG00000156976.16","EIF4A2","1034.4"
"ENSG00000213760.10","ATP6V1G2","1022.7"
"ENSG00000197746.13","PSAP","993.1"
"ENSG00000104833.11","TUBB4A","988.8"
"ENSG00000101210.10","EEF1A2","972.2"
"ENSG00000104435.13","STMN2","955.6"
"ENSG00000120885.21","CLU","935.5"
"ENSG00000096384.19","HSP90AB1","928.2"
"ENSG00000112306.7","RPS12","901.6"
"ENSG00000160014.16","CALM3","879.0"
"ENSG00000104964.14","AES","867.7"
"ENSG00000139899.10","CBLN3","859.6"
"ENSG00000156508.17","EEF1A1","851.2"
"ENSG00000109472.13","CPE","836.7"
"ENSG00000102924.11","CBLN1","813.7"
"ENSG00000089199.9","CHGB","778.1"
"ENSG00000118181.10","RPS25","772.0"
"ENSG00000265681.7","RPL17","769.3"
"ENSG00000114391.12","RPL24","762.1"
"ENSG00000122406.12","RPL5","751.4"
"ENSG00000159335.15","PTMS","747.9"
"ENSG00000110955.8","ATP5B","743.9"
"ENSG00000254772.9","EEF1G","733.4"
"ENSG00000147403.16","RPL10","720.4"
"ENSG00000161016.17","RPL8","704.3"
"ENSG00000074317.10","SNCB","703.6"
"ENSG00000104852.14","SNRNP70","700.5"
"ENSG00000080824.18","HSP90AA1","692.1"
"ENSG00000108298.9","RPL19","686.2"
"ENSG00000143947.13","RPS27A","683.7"
"ENSG00000168490.13","PHYHIP","667.7"
"ENSG00000109971.13","HSPA8","662.8"
"ENSG00000122566.20","HNRNPA2B1","661.8"
"ENSG00000063180.8","CA11","660.6"
"ENSG00000122026.10","RPL21","657.6"
"ENSG00000126432.13","PRDX5","643.5"
"ENSG00000225630.1","MTND2P28","638.6"
"ENSG00000104904.12","OAZ1","635.0"
"ENSG00000105696.8","TMEM59L","634.9"
"ENSG00000145425.9","RPS3A","634.5"
"ENSG00000139970.16","RTN1","629.6"
"ENSG00000105193.8","RPS16","629.5"
"ENSG00000130203.9","APOE","629.5"
"ENSG00000156298.12","TSPAN7","626.1"
"ENSG00000145920.14","CPLX2","619.5"
"ENSG00000185883.11","ATP6V0C","613.0"
"ENSG00000174444.14","RPL4","612.1"
"ENSG00000179456.10","ZBTB18","611.7"
"ENSG00000109475.16","RPL34","602.2"
"ENSG00000110700.6","RPS13","600.1"
"ENSG00000152154.10","TMEM178A","595.5"
"ENSG00000108953.16","YWHAE","592.3"
"ENSG00000067225.17","PKM","590.9"
"ENSG00000167815.11","PRDX2","589.8"
"ENSG00000203879.11","GDI1","586.3"
"ENSG00000171863.12","RPS7","581.5"
"ENSG00000162706.12","CADM3","580.4"
"ENSG00000167371.17","PRRT2","563.4"
"ENSG00000167552.13","TUBA1A","562.7"
"ENSG00000163399.15","ATP1A1","554.5"
"ENSG00000176340.3","COX8A","545.8"
"ENSG00000184205.14","TSPYL2","544.7"
"ENSG00000103034.14","NDRG4","544.6"
"ENSG00000104888.9","SLC17A7","544.5"
"ENSG00000184009.9","ACTG1","542.0"
"ENSG00000137154.12","RPS6","541.1"
"ENSG00000187730.8","GABRD","538.4"
"ENSG00000087250.8","MT3","537.9"
"ENSG00000205542.10","TMSB4X","535.4"
"ENSG00000107317.12","PTGDS","531.4"
"ENSG00000111716.12","LDHB","531.3"
"ENSG00000132475.10","H3F3B","530.7"
"ENSG00000084234.16","APLP2","529.8"
"ENSG00000171867.16","PRNP","529.6"
"ENSG00000107281.9","NPDC1","529.4"
"ENSG00000131584.18","ACAP3","529.2"
"ENSG00000163032.11","VSNL1","520.6"
"ENSG00000133169.5","BEX1","519.1"
"ENSG00000137818.11","RPLP1","518.9"
"ENSG00000220205.8","VAMP2","517.8"
"ENSG00000092096.16","SLC22A17","512.1"
"ENSG00000136942.14","RPL35","506.7"
"ENSG00000185615.15","PDIA2","501.1"
