"Gencode Id","Gene Symbol","Median TPM"
"ENSG00000248527.1","MTATP6P1","5985.9"
"ENSG00000154146.12","NRGN","2481.7"
"ENSG00000087086.14","FTL","2118.5"
"ENSG00000166165.12","CKB","1457.9"
"ENSG00000111640.14","GAPDH","1438.8"
"ENSG00000075624.13","ACTB","1309.6"
"ENSG00000034510.5","TMSB10","1289.0"
"ENSG00000120885.21","CLU","1285.8"
"ENSG00000225630.1","MTND2P28","1275.0"
"ENSG00000155980.11","KIF5A","1160.2"
"ENSG00000167996.15","FTH1","1147.1"
"ENSG00000107317.12","PTGDS","1087.8"
"ENSG00000160014.16","CALM3","1027.3"
"ENSG00000089220.4","PEBP1","962.6"
"ENSG00000131095.12","GFAP","952.4"
"ENSG00000154277.12","UCHL1","948.1"
"ENSG00000143933.16","CALM2","894.1"
"ENSG00000152583.12","SPARCL1","866.2"
"ENSG00000198668.10","CALM1","842.6"
"ENSG00000087250.8","MT3","840.8"
"ENSG00000167658.15","EEF2","812.7"
"ENSG00000184009.9","ACTG1","774.3"
"ENSG00000101210.10","EEF1A2","713.6"
"ENSG00000096384.19","HSP90AB1","710.4"
"ENSG00000132639.12","SNAP25","685.1"
"ENSG00000135916.15","ITM2C","667.6"
"ENSG00000142534.6","RPS11","660.9"
"ENSG00000149925.17","ALDOA","653.0"
"ENSG00000231500.6","RPS18","646.9"
"ENSG00000127585.11","FBXL16","638.2"
"ENSG00000197746.13","PSAP","635.6"
"ENSG00000074800.13","ENO1","623.9"
"ENSG00000165795.23","NDRG2","618.0"
"ENSG00000104904.12","OAZ1","609.1"
"ENSG00000162734.12","PEA15","607.3"
"ENSG00000130203.9","APOE","604.2"
"ENSG00000109107.13","ALDOC","599.5"
"ENSG00000205542.10","TMSB4X","595.0"
"ENSG00000112306.7","RPS12","590.4"
"ENSG00000142541.16","RPL13A","586.4"
"ENSG00000101439.8","CST3","585.7"
"ENSG00000168309.16","FAM107A","585.0"
"ENSG00000162545.5","CAMK2N1","570.0"
"ENSG00000074317.10","SNCB","567.6"
"ENSG00000070808.15","CAMK2A","564.1"
"ENSG00000080824.18","HSP90AA1","555.9"
"ENSG00000109472.13","CPE","550.2"
"ENSG00000111775.2","COX6A1","549.4"
"ENSG00000105696.8","TMEM59L","533.2"
"ENSG00000123416.15","TUBA1B","523.2"
"ENSG00000063180.8","CA11","517.7"
"ENSG00000185883.11","ATP6V0C","513.8"
"ENSG00000109971.13","HSPA8","510.7"
"ENSG00000128245.14","YWHAH","508.9"
"ENSG00000111716.12","LDHB","508.0"
"ENSG00000104888.9","SLC17A7","502.0"
"ENSG00000067225.17","PKM","496.0"
"ENSG00000018625.14","ATP1A2","492.3"
"ENSG00000135821.17","GLUL","491.8"
"ENSG00000167815.11","PRDX2","484.6"
"ENSG00000163682.15","RPL9","478.9"
"ENSG00000118181.10","RPS25","475.7"
"ENSG00000100316.15","RPL3","475.2"
"ENSG00000105701.15","FKBP8","458.9"
"ENSG00000168653.10","NDUFS5","458.6"
"ENSG00000104964.14","AES","454.9"
"ENSG00000156976.16","EIF4A2","448.2"
"ENSG00000110955.8","ATP5B","446.7"
"ENSG00000134590.13","FAM127A","445.1"
"ENSG00000133169.5","BEX1","443.5"
"ENSG00000172270.18","BSG","441.4"
"ENSG00000166681.13","BEX3","433.3"
"ENSG00000108953.16","YWHAE","431.4"
"ENSG00000108298.9","RPL19","431.2"
"ENSG00000102109.8","PCSK1N","427.1"
"ENSG00000156508.17","EEF1A1","427.1"
"ENSG00000105649.9","RAB3A","416.0"
"ENSG00000111674.8","ENO2","413.2"
"ENSG00000203879.11","GDI1","412.2"
"ENSG00000020129.15","NCDN","411.8"
"ENSG00000137818.11","RPLP1","401.5"
"ENSG00000172020.12","GAP43","396.6"
"ENSG00000111669.14","TPI1","395.8"
"ENSG00000092096.16","SLC22A17","392.3"
"ENSG00000176340.3","COX8A","391.9"
"ENSG00000161016.17","RPL8","388.9"
"ENSG00000220205.8","VAMP2","386.7"
"ENSG00000147403.16","RPL10","384.3"
"ENSG00000167552.13","TUBA1A","381.9"
"ENSG00000126432.13","PRDX5","377.7"
"ENSG00000136942.14","RPL35","376.3"
"ENSG00000107130.9","NCS1","372.7"
"ENSG00000143947.13","RPS27A","372.1"
"ENSG00000168490.13","PHYHIP","371.7"
"ENSG00000165802.21","NSMF","370.5"
"ENSG00000184524.5","CEND1","367.4"
"ENSG00000156298.12","TSPAN7","364.8"
"ENSG00000110436.11","SLC1A2","361.7"
"ENSG00000178531.5","CTXN1","360.6"
"ENSG00000108309.13","RUNDC3A","357.0"
