"Gencode Id","Gene Symbol","Median TPM"
"ENSG00000197971.14","MBP","9548.0"
"ENSG00000131095.12","GFAP","9333.8"
"ENSG00000123560.13","PLP1","7479.9"
"ENSG00000087086.14","FTL","6098.3"
"ENSG00000248527.1","MTATP6P1","4830.3"
"ENSG00000160307.9","S100B","3673.9"
"ENSG00000205542.10","TMSB4X","3065.8"
"ENSG00000160781.15","PAQR6","2844.0"
"ENSG00000162734.12","PEA15","2208.6"
"ENSG00000167996.15","FTH1","2208.3"
"ENSG00000107317.12","PTGDS","2163.5"
"ENSG00000075624.13","ACTB","2143.6"
"ENSG00000091513.14","TF","2040.1"
"ENSG00000118785.13","SPP1","1888.9"
"ENSG00000180354.15","MTURN","1847.7"
"ENSG00000167552.13","TUBA1A","1761.9"
"ENSG00000021300.13","PLEKHB1","1669.0"
"ENSG00000109846.7","CRYAB","1663.2"
"ENSG00000112306.7","RPS12","1460.6"
"ENSG00000111640.14","GAPDH","1402.8"
"ENSG00000168314.17","MOBP","1389.8"
"ENSG00000099194.5","SCD","1332.4"
"ENSG00000231500.6","RPS18","1239.3"
"ENSG00000225630.1","MTND2P28","1228.3"
"ENSG00000175130.6","MARCKSL1","1201.5"
"ENSG00000143933.16","CALM2","1196.8"
"ENSG00000156508.17","EEF1A1","1176.0"
"ENSG00000142534.6","RPS11","1157.4"
"ENSG00000113140.10","SPARC","1145.3"
"ENSG00000142541.16","RPL13A","1113.1"
"ENSG00000105290.11","APLP1","1072.3"
"ENSG00000089220.4","PEBP1","1066.8"
"ENSG00000189058.8","APOD","1041.9"
"ENSG00000184009.9","ACTG1","1024.5"
"ENSG00000108298.9","RPL19","1011.3"
"ENSG00000080822.16","CLDND1","986.3"
"ENSG00000078804.12","TP53INP2","975.6"
"ENSG00000118181.10","RPS25","919.2"
"ENSG00000147403.16","RPL10","873.4"
"ENSG00000120885.21","CLU","861.6"
"ENSG00000105695.14","MAG","839.0"
"ENSG00000064787.13","BCAS1","823.4"
"ENSG00000100097.11","LGALS1","808.9"
"ENSG00000137818.11","RPLP1","808.4"
"ENSG00000034510.5","TMSB10","788.1"
"ENSG00000100316.15","RPL3","784.1"
"ENSG00000173786.16","CNP","781.8"
"ENSG00000137154.12","RPS6","768.2"
"ENSG00000244274.7","DBNDD2","748.0"
"ENSG00000163682.15","RPL9","739.1"
"ENSG00000149557.12","FEZ1","733.7"
"ENSG00000132702.12","HAPLN2","717.3"
"ENSG00000166710.17","B2M","703.7"
"ENSG00000122406.12","RPL5","698.9"
"ENSG00000105193.8","RPS16","694.4"
"ENSG00000197746.13","PSAP","690.4"
"ENSG00000110700.6","RPS13","689.3"
"ENSG00000019582.14","CD74","683.1"
"ENSG00000080824.18","HSP90AA1","664.3"
"ENSG00000204655.11","MOG","663.1"
"ENSG00000177954.11","RPS27","638.7"
"ENSG00000046653.14","GPM6B","634.8"
"ENSG00000111897.6","SERINC1","634.6"
"ENSG00000143947.13","RPS27A","633.4"
"ENSG00000116133.11","DHCR24","624.1"
"ENSG00000143878.9","RHOB","620.6"
"ENSG00000136541.14","ERMN","608.1"
"ENSG00000254772.9","EEF1G","607.3"
"ENSG00000174444.14","RPL4","606.7"
"ENSG00000177600.8","RPLP2","589.9"
"ENSG00000136942.14","RPL35","584.9"
"ENSG00000161016.17","RPL8","581.4"
"ENSG00000108953.16","YWHAE","579.8"
"ENSG00000130203.9","APOE","576.8"
"ENSG00000167658.15","EEF2","574.1"
"ENSG00000122026.10","RPL21","574.1"
"ENSG00000172809.12","RPL38","572.7"
"ENSG00000109475.16","RPL34","568.3"
"ENSG00000187514.16","PTMA","560.4"
"ENSG00000108387.14","SEPT4","560.0"
"ENSG00000114391.12","RPL24","548.6"
"ENSG00000123416.15","TUBA1B","547.9"
"ENSG00000168309.16","FAM107A","539.9"
"ENSG00000096384.19","HSP90AB1","527.8"
"ENSG00000168028.13","RPSA","521.3"
"ENSG00000265681.7","RPL17","504.0"
"ENSG00000147588.6","PMP2","501.7"
"ENSG00000234745.10","HLA-B","489.9"
"ENSG00000107331.16","ABCA2","487.8"
"ENSG00000123349.13","PFDN5","482.1"
"ENSG00000087250.8","MT3","481.5"
"ENSG00000142192.20","APP","479.9"
"ENSG00000166165.12","CKB","476.8"
"ENSG00000117450.13","PRDX1","472.8"
"ENSG00000148303.16","RPL7A","471.7"
"ENSG00000145425.9","RPS3A","462.7"
"ENSG00000179010.14","MRFAP1","462.4"
"ENSG00000125534.9","PPDPF","459.3"
"ENSG00000244734.3","HBB","458.5"
"ENSG00000173812.10","EIF1","456.9"
