,p value
A1BG,0.593623716
A2M,0.735361992
NAT1,0.62041421
AAMP,0.832439966
AARS1,0.952043402
ABAT,0.822448697
ABCA1,0.195074241
ABCA2,0.673407499
ABCA3,0.690619747
ABCB7,0.203689053
ABCF1,0.201236974
ABL1,0.6305872
ABL2,0.635510151
ABR,0.294924756
ACAA1,0.418148617
ACACA,0.79538284
ACACB,0.435886332
ACADM,0.37107723
ACADS,0.770578878
ACADSB,0.298643559
ACADVL,0.821701647
ACAT1,0.178019468
ACAT2,0.161669054
ACHE,0.157368018
ACLY,0.726968106
ACO1,0.121911409
ACO2,0.704379277
ACOX1,0.691702936
ACP1,0.246904351
ACP2,0.965882118
ACP5,0.032765867
ACP3,0.441597847
ACTA2,0.164774627
ACTB,0.980690869
ACTBP2,0.963336312
ACTG1,0.527802055
ACTG1P1,0.466925863
ACTG1P3,0.302932627
ACTN4,0.028183757
ACTL6A,0.96434271
ACTN1,0.781916033
ACVR1,0.576214049
ACVR1B,0.270481393
ACVR2A,0.232750245
ACVR2B,0.89183741
ACY1,0.916301056
ACYP1,0.552347327
ACYP2,0.516779707
ADA,0.552084133
ADAM8,0.783123698
ADAM10,0.942462621
ADAR,0.759871043
ADARB1,0.58997191
ADARB2,0.97426039
ADCY1,0.606908185
ADCY3,0.444003003
ADCY6,0.830564777
ADCY7,0.057748157
ADCY9,0.274840016
ADD1,0.880781493
ADD3,0.99939765
PLIN2,0.935557482
ADH5,0.466913479
ADK,0.502417308
ADM,0.490683887
ADORA2A,0.253560794
ADORA2B,0.113871774
ADPRH,0.609525414
PARP1,0.724706531
PARP4,0.078970624
ADRB1,0.823749997
ADRB2,0.932885233
GRK2,0.172762037
GRK3,0.353647355
ADSL,0.896372285
ADSS2,0.394051165
AP2A1,0.257450254
AP2A2,0.11315029
AP1B1,0.132160164
AP2B1,0.801597897
AP1G1,0.62629675
AEBP1,0.376594442
TLE5,0.236276155
AFG3L1P,0.830329975
AGA,0.367034166
AGER,0.365632697
AGL,0.9696418
JAG1,0.452574808
AHCY,0.832874685
AHR,0.709435986
AIF1,0.803089397
CRYBG1,0.00798626
AK1,0.187447066
AK2,0.978651193
AK4,0.814647023
AK4P1,0.722175676
AKT1,0.401164595
AKT2,0.180597673
ALAD,0.066491254
ALAS1,0.301794347
ALCAM,0.721388434
ABCD1,0.602962983
ALDH2,0.719128491
ALDH1B1,0.128740659
ALDH9A1,0.033871603
ALDH3A2,0.057719558
ABCD2,0.518654571
ALDOA,0.149191745
ALDOC,0.9304437
AKR1B1,0.260157616
ALOX5,0.637216998
ALOX5AP,0.335292897
ALOX12P2,0.599541611
AMD1,0.359424559
AMFR,0.675319479
AMPD2,0.044269754
AMPD3,0.917177535
BIN1,0.232081019
AMT,0.112515915
AMY2B,0.614753607
ANG,0.723932612
ANK1,0.498237718
ANK2,0.517071099
SLC25A4,0.679695613
SLC25A5,0.916688695
SLC25A6,0.528875039
ANXA1,0.435595494
ANXA2,0.895638258
ANXA2P2,0.601579386
ANXA3,0.922171367
ANXA4,0.466091078
ANXA5,0.317096992
ANXA6,0.716912795
ANXA7,0.011539876
ANXA11,0.782585053
AOC2,0.124471417
APAF1,0.581203089
NUDT2,0.458435618
APBB1,0.487869836
APBB2,0.187253843
APC,0.823975762
