,p value
A1BG,0.533988652
A2M,0.979609909
NAT1,0.882242808
AAMP,0.872098195
AARS1,0.916424595
ABAT,0.74517844
ABCA1,0.171196408
ABCA2,0.539609463
ABCA3,0.649336959
ABCB7,0.329722497
ABCF1,0.411505201
ABL1,0.872295254
ABL2,0.484220625
ABR,0.638521175
ACAA1,0.696733425
ACACA,0.728800371
ACACB,0.538394677
ACADM,0.436119101
ACADS,0.585238291
ACADSB,0.337452612
ACADVL,0.736299915
ACAT1,0.177816252
ACAT2,0.152768605
ACHE,0.132635066
ACLY,0.937857648
ACO1,0.090685025
ACO2,0.964635566
ACOX1,0.96563055
ACP1,0.672046295
ACP2,0.641322378
ACP5,0.052582457
ACP3,0.764548555
ACTA2,0.098411697
ACTB,0.926237751
ACTBP2,0.420183405
ACTG1,0.982743394
ACTG1P1,0.971880434
ACTG1P3,0.705264607
ACTN4,0.292872849
ACTL6A,0.893723594
ACTN1,0.678401903
ACVR1,0.927519925
ACVR1B,0.103511839
ACVR2A,0.453393805
ACVR2B,0.786134792
ACY1,0.861033548
ACYP1,0.323801176
ACYP2,0.990263399
ADA,0.517963069
ADAM8,0.907076253
ADAM10,0.795954112
ADAR,0.892253987
ADARB1,0.699440605
ADARB2,0.935223029
ADCY1,0.557811454
ADCY3,0.46656899
ADCY6,0.647034199
ADCY7,0.248785309
ADCY9,0.132100276
ADD1,0.835852269
ADD3,0.873015694
PLIN2,0.813779206
ADH5,0.456967476
ADK,0.774831451
ADM,0.745554731
ADORA2A,0.385968593
ADORA2B,0.026833484
ADPRH,0.396907477
PARP1,0.89844185
PARP4,0.114584263
ADRB1,0.905819946
ADRB2,0.824643719
GRK2,0.50052715
GRK3,0.48623185
ADSL,0.848416791
ADSS2,0.466543953
AP2A1,0.782767945
AP2A2,0.481523506
AP1B1,0.389513346
AP2B1,0.755090228
AP1G1,0.614233012
AEBP1,0.561997043
TLE5,0.456817601
AFG3L1P,0.611838384
AGA,0.517632514
AGER,0.14706004
AGL,0.814582558
JAG1,0.466818873
AHCY,0.900125164
AHR,0.659413325
AIF1,0.637104288
CRYBG1,0.007871085
AK1,0.447430767
AK2,0.828560169
AK4,0.842057101
AK4P1,0.96062079
AKT1,0.825941388
AKT2,0.659709599
ALAD,0.40991111
ALAS1,0.573501239
ALCAM,0.666288815
ABCD1,0.360170723
ALDH2,0.736293565
ALDH1B1,0.228026199
ALDH9A1,0.06918943
ALDH3A2,0.185129867
ABCD2,0.731386946
ALDOA,0.369743633
ALDOC,0.898348179
AKR1B1,0.482945779
ALOX5,0.834305736
ALOX5AP,0.208269113
ALOX12P2,0.588422048
AMD1,0.723239665
AMFR,0.622090838
AMPD2,0.323239499
AMPD3,0.875386897
BIN1,0.375803246
AMT,0.239422113
AMY2B,0.397949254
ANG,0.483807223
ANK1,0.765929482
ANK2,0.848327727
SLC25A4,0.84648989
SLC25A5,0.783224114
SLC25A6,0.548460539
ANXA1,0.349449207
ANXA2,0.807441591
ANXA2P2,0.961956809
ANXA3,0.526461126
ANXA4,0.385730002
ANXA5,0.42518246
ANXA6,0.44565305
ANXA7,0.084052115
ANXA11,0.850653426
AOC2,0.432132129
APAF1,0.606647562
NUDT2,0.6968259
APBB1,0.431208605
APBB2,0.183946687
APC,0.704392017
APEH,0.861959954
APEX1,0.393504285
BIRC2,0.296253336
BIRC3,0.997566141
XIAP,0.413511465
BIRC5,0.394932055
APLP2,0.812961836
APOC1,0.272052214
APP,0.32826179
APRT,0.377205996
FAS,0.907139538
AQP3,0.803159125
AQP9,0.303761534
ARAF,0.889271132
ARCN1,0.332120171
TRIM23,0.594384246
ARF1,0.945568908
ARF3,0.494382303
ARF4,0.817386259
ARF5,0.576172834
ARF6,0.500588376
ARG2,0.938332007
RHOA,0.980974379
RHOB,0.492703761
RHOC,0.545083633
RND3,0.342161845
RHOG,0.51325551
ARHGAP1,0.260742737
ARHGAP4,0.422324925
ARHGAP5,0.296086367
ARHGAP6,0.323645889
ARHGDIA,0.690025172
ARHGDIB,0.676216883
RHOH,0.361152812
ARL1,0.699043925
ARL2,0.784937001
ARL3,0.285246001
ARNT,0.775079266
ARNTL,0.674226558
ARRB1,0.974265071
ARRB2,0.107383859
ARSA,0.754723618
ARSB,0.533704441
STS,0.256819146
ARSD,0.013954237
ARVCF,0.405884853
ASAH1,0.12804175
ASCL1,0.698129869
ASL,0.273472655
GET3,0.813662163
ASNS,0.30182543
ASPA,0.959986743
ASPH,0.527917951
ASS1,0.970257653
ZFHX3,0.817102347
ATF1,0.636077709
ATF3,0.289619135
ATF4,0.267461297
ATIC,0.20981035
ATM,0.401225958
RERE,0.866224629
ATOX1,0.242385219
ATP1A1,0.275255667
ATP1A3,0.039787758
ATP1B1,0.959458017
ATP1B3,0.763369575
ATP1B1P1,0.198545248
FXYD2,0.812134739
ATP2A1,0.399202125
ATP2A2,0.949271496
ATP2A3,0.404379742
ATP2B1,0.794332972
ATP2B4,0.479191644
ATP5F1A,0.670703813
ALDH7A1,0.111811239
ATP5F1B,0.411280451
ATP5F1C,0.767418877
