,p value
NAT1,0.525830746
AAMP,0.99357868
AARS1,0.898721587
ABCB7,0.148691072
ABCF1,0.163920616
ABL1,0.717439352
ABR,0.394034376
ACAA1,0.516627153
ACACA,0.759059897
ACADM,0.365190515
ACADS,0.629956848
ACADSB,0.373616184
ACADVL,0.787023094
ACAT1,0.098584262
ACAT2,0.1345027
ACLY,0.945456734
ACO1,0.152214673
ACO2,0.648213412
ACOX1,0.788931928
ACP1,0.137692826
ACP2,0.69170096
ACP5,0.034624059
ACTA2,0.13024603
ACTB,0.43226092
ACTG1,0.647358141
ACTN4,0.032806358
ACTL6A,0.899461662
ACTN1,0.911157628
ACY1,0.885202131
ACYP1,0.317774114
ACYP2,0.705563992
ADA,0.644515916
ADAM8,0.848792201
ADAM10,0.997798244
ADAR,0.791317425
ADCY1,0.785066546
ADCY3,0.349556499
ADCY7,0.032617016
ADD1,0.914904865
ADD3,0.902046201
PLIN2,0.877158583
ADH5,0.365947653
ADK,0.605834095
ADM,0.585334342
ADORA2A,0.327489572
ADPRH,0.474619001
PARP1,0.889562418
PARP4,0.076681302
GRK2,0.171174168
GRK3,0.365404633
ADSL,0.878708003
ADSS2,0.280874155
AP2A1,0.434361918
AP2A2,0.149165872
AP1B1,0.13581145
AP2B1,0.70033167
AP1G1,0.62405017
TLE5,0.168149168
AFG3L1P,0.964207459
AGA,0.386072718
AGL,0.898001882
JAG1,0.342252491
AHCY,0.797019515
AHR,0.722891939
AIF1,0.93995211
CRYBG1,0.00735896
AK2,0.662362345
AK4,0.818901871
AKT1,0.50646385
AKT2,0.205028879
ALAD,0.069557144
ALAS1,0.321173885
ALCAM,0.725768886
ALDH1B1,0.117731088
ALDH9A1,0.030416605
ALDH3A2,0.067289279
ABCD2,0.511828064
ALDOA,0.124644847
ALDOC,0.913241973
AKR1B1,0.312917244
ALOX5,0.830298274
ALOX5AP,0.171245959
AMD1,0.273314029
AMFR,0.534016239
AMPD2,0.052527501
AMPD3,0.89039953
BIN1,0.321199615
AMY2B,0.679892474
SLC25A4,0.662068621
SLC25A5,0.807257899
SLC25A6,0.617717572
ANXA2,0.947967207
ANXA4,0.385393028
ANXA5,0.312408182
ANXA6,0.596854392
ANXA7,0.031161737
ANXA11,0.776343664
APAF1,0.7751876
NUDT2,0.538961625
APC,0.857697105
APEH,0.522063655
APEX1,0.193138093
BIRC2,0.296802596
BIRC3,0.904137627
XIAP,0.507421339
BIRC5,0.227954824
APLP2,0.780279089
APP,0.3641461
APRT,0.367978256
FAS,0.940004118
ARAF,0.84291875
ARCN1,0.25244564
ARF1,0.415689816
ARF3,0.419444276
ARF4,0.924911024
ARF5,0.631219808
ARF6,0.279830175
RHOA,0.483840493
RHOB,0.343530896
RHOC,0.61238535
RHOG,0.542769074
ARHGAP1,0.145240624
ARHGAP4,0.12350467
ARHGAP5,0.435608106
ARHGDIA,0.218179856
ARHGDIB,0.840154125
RHOH,0.436149907
ARL1,0.721429472
ARL2,0.61239706
ARL3,0.48211176
ARNT,0.84504781
ARNTL,0.879830814
ARRB2,0.026205117
ARSA,0.957477906
ARSB,0.633675191
STS,0.187781883
ASAH1,0.143490871
ASCL1,0.929861779
ASL,0.302451965
GET3,0.30903022
ASNS,0.303969464
ASPH,0.837999462
ATF1,0.251724231
ATF3,0.186224001
ATF4,0.088499589
ATIC,0.157525848
ATM,0.568555451
ATOX1,0.230751036
ATP1A1,0.203232556
ATP1B1,0.965657994
ATP1B3,0.866842886
FXYD2,0.821812285
ATP2A2,0.721227586
ATP2A3,0.26942003
ATP2B1,0.789456687
ATP5F1A,0.979315188
ATP5F1B,0.406992887
ATP5F1C,0.93487052
ATP5F1D,0.984879818
ATP5F1E,0.445322484
ATP5PB,0.823516436
ATP5MC1,0.571915703
ATP5MC2,0.707161511
ATP5MC3,0.939051722
ATP5ME,0.803614336
ATP5PF,0.153929713
ATP6V1A,0.398524685
ATP6V1B2,0.706287006
ATP6V0C,0.244890263
ATP6V1C1,0.62121897
ATP6V1E1,0.953657798
ATP6V0B,0.052089333
ATP6V0A1,0.739760129
ATP6AP1,0.406985382
ATP7A,0.473334499
ATP5PO,0.850033889
ATR,0.334499994
ATRX,0.033163721
AUH,0.164942146
AUP1,0.140774128
B2M,0.759644463
BACH1,0.872637337
BAD,0.740279602
BAG1,0.419254249
BAK1,0.322932801
BARD1,0.261348803
BAX,0.332319037
BBS1,0.406124609
BBS2,0.3378967
BBS4,0.120252396
BCAT1,0.362136198
BCAT2,0.881417417
BCKDHA,0.026144633
BCKDHB,0.236346691
BCL2,0.845433322
BCL2A1,0.671061344
BCL2L1,0.858116671
BCL2L2,0.081852138
BCL7A,0.958026722
TNFRSF17,0.367953871
BCR,0.899232595
BCS1L,0.456943202
BCYRN1,0.968974215
BCYRN1P1,0.362497844
BDH1,0.821498839
BID,0.785436013
BIK,0.027022826
PRDM1,0.664910764
BLK,0.899286955
BLM,0.696222173
BLMH,0.870417764
BLVRA,0.204484508
BLVRB,0.68919943
BMI1,0.909360825
BMPR1A,0.095038279
BMPR2,0.877477771
POLR3D,0.198937906
BNIP1,0.913271632
BNIP2,0.975501771
BNIP3,0.20025255
BNIP3L,0.45056821
DST,0.88652226
BPGM,0.727530634
BPHL,0.977221476
BRCA1,0.099919876
BRAF,0.726695839
BRCA2,0.758038281
ZFP36L1,0.156619055
ZFP36L2,0.589819523
BSG,0.732226665
BST2,0.245646987
BTF3,0.674181934
BTG1,0.755656813
BTK,0.185726925
BUB1,0.661867484
BUB1B,0.930449673
BYSL,0.57458463
TSPO,0.842364611
C1QBP,0.824377509
OSGIN2,0.93565523
VPS51,0.180822962
MRPL49,0.860767014
ZNHIT2,0.270038936
TMEM258,0.49721823
FMNL1,0.244281465
PTTG1IP,0.880811029
CFAP410,0.880049791
TMEM50B,0.357004265
CA2,0.712987028
SLC25A20,0.855472883
CAD,0.761291212
CALM1,0.876994483
CALM2,0.522779567
CALM3,0.833738223
CALR,0.72536412
CALU,0.606255172
CAMK4,0.607367081
CAMK2D,0.51661192
CAMK2G,0.562534069
CAMLG,0.618035923
CANX,0.619845787
CAPG,0.320832756
CAPN1,0.880285673
CAPN2,0.31317016
CAPNS1,0.407722547
CAPZA1,0.813100593
CAPZA2,0.100833904
CAST,0.308608269
CAPZB,0.811188048
CARS1,0.96110272
CASP1,0.997512928
CASP2,0.044559801
CASP3,0.715500141
CASP4,0.998489285
CASP6,0.14592184
CASP7,0.443238315
CASP8,0.732237172
CASP9,0.301654598
CASP10,0.506191732
CAT,0.531621378
RUNX3,0.39675352
CBFB,0.015821368
CBL,0.664409238
CBLB,0.566145064
SERPINH1,0.812159958
CBR1,0.70288455
KYAT1,0.369667812
KRIT1,0.056395582
CCNA2,0.251693857
CCNB1,0.701386553
CCNC,0.215137733
CCND2,0.69034464
CCND3,0.054556153
CCNE1,0.878000593
CCNF,0.019773733
CCNG1,0.960741845
CCNH,0.905157127
CCNT1,0.388966347
CCNT2,0.270171943
CCT6A,0.863029388
CD9,0.382425203
CD19,0.712582492
MS4A1,0.921677991
CD22,0.872503137
CD24P4,0.726506853
CD27,0.109054154
CD80,0.613773666
CD86,0.309035211
TNFRSF8,0.515690179
SCARB1,0.940218228
SCARB2,0.425973453
CD37,0.511917748
CD38,0.710742952
ENTPD1,0.576532645
ENTPD6,0.430123364
CD40,0.89791019
CD44,0.135583254
CD47,0.72988934
CD48,0.55031522
CD53,0.570033366
CD58,0.748131509
CD59,0.594253616
CD63,0.2344446
CD69,0.188973475
CD70,0.573719809
CD74,0.284929123
CD79A,0.865997109
CD79B,0.845545925
CD81,0.704082256
ADGRE5,0.521220797
CD151,0.673880918
CDK1,0.270728249
CDK11B,0.275635719
LRBA,0.293942962
CDC5L,0.427127357
SEPTIN7,0.853432121
CDC6,0.853361588
CDC20,0.837770244
CDC25A,0.393043069
CDC25B,0.149150388
CDC25C,0.710539691
CDC27,0.724905469
CDC34,0.737740343
CDC42,0.222075754
