,Gene ID
0,A1BG
1,A2M
2,NAT1
3,AAMP
4,AARS1
5,ABAT
6,ABCA1
7,ABCA2
8,ABCA3
9,ABCB7
10,ABCF1
11,ABL1
12,ABL2
13,ABR
14,ACAA1
15,ACACA
16,ACACB
17,ACADM
18,ACADS
19,ACADSB
20,ACADVL
21,ACAT1
22,ACAT2
23,ACHE
24,ACLY
25,ACO1
26,ACO2
27,ACOX1
28,ACP1
29,ACP2
30,ACP5
31,ACP3
32,ACTA2
33,ACTB
34,ACTBP2
35,ACTG1
36,ACTG1P1
37,ACTG1P3
38,ACTN4
39,ACTL6A
40,ACTN1
41,ACVR1
42,ACVR1B
43,ACVR2A
44,ACVR2B
45,ACY1
46,ACYP1
47,ACYP2
48,ADA
49,ADAM8
50,ADAM10
51,ADAR
52,ADARB1
53,ADARB2
54,ADCY1
55,ADCY3
56,ADCY6
57,ADCY7
58,ADCY9
59,ADD1
60,ADD3
61,PLIN2
62,ADH5
63,ADK
64,ADM
65,ADORA2A
66,ADORA2B
67,ADPRH
68,PARP1
69,PARP4
70,ADRB1
71,ADRB2
72,GRK2
73,GRK3
74,ADSL
75,ADSS2
76,AP2A1
77,AP2A2
78,AP1B1
79,AP2B1
80,AP1G1
81,AEBP1
82,TLE5
83,AFG3L1P
84,AGA
85,AGER
86,AGL
87,JAG1
88,AHCY
89,AHR
90,AIF1
91,CRYBG1
92,AK1
93,AK2
94,AK4
95,AK4P1
96,AKT1
97,AKT2
98,ALAD
99,ALAS1
100,ALCAM
101,ABCD1
102,ALDH2
103,ALDH1B1
104,ALDH9A1
105,ALDH3A2
106,ABCD2
107,ALDOA
108,ALDOC
109,AKR1B1
110,ALOX5
111,ALOX5AP
112,ALOX12P2
113,AMD1
114,AMFR
115,AMPD2
116,AMPD3
117,BIN1
118,AMT
119,AMY2B
120,ANG
121,ANK1
122,ANK2
123,SLC25A4
124,SLC25A5
125,SLC25A6
126,ANXA1
127,ANXA2
128,ANXA2P2
129,ANXA3
130,ANXA4
131,ANXA5
132,ANXA6
133,ANXA7
134,ANXA11
135,AOC2
136,APAF1
137,NUDT2
138,APBB1
139,APBB2
140,APC
141,APEH
142,APEX1
143,BIRC2
144,BIRC3
145,XIAP
146,BIRC5
147,APLP2
148,APOC1
149,APP
150,APRT
151,FAS
152,AQP3
153,AQP9
154,ARAF
155,ARCN1
156,TRIM23
157,ARF1
158,ARF3
159,ARF4
160,ARF5
161,ARF6
162,ARG2
163,RHOA
164,RHOB
165,RHOC
166,RND3
167,RHOG
168,ARHGAP1
169,ARHGAP4
170,ARHGAP5
171,ARHGAP6
172,ARHGDIA
173,ARHGDIB
174,RHOH
175,ARL1
176,ARL2
177,ARL3
178,ARNT
179,ARNTL
180,ARRB1
181,ARRB2
182,ARSA
183,ARSB
184,STS
185,ARSD
186,ARVCF
187,ASAH1
188,ASCL1
189,ASL
190,GET3
191,ASNS
192,ASPA
193,ASPH
194,ASS1
195,ZFHX3
196,ATF1
197,ATF3
198,ATF4
199,ATIC
200,ATM
201,RERE
202,ATOX1
203,ATP1A1
204,ATP1A3
205,ATP1B1
206,ATP1B3
207,ATP1B1P1
208,FXYD2
209,ATP2A1
210,ATP2A2
211,ATP2A3
212,ATP2B1
213,ATP2B4
214,ATP5F1A
215,ALDH7A1
216,ATP5F1B
217,ATP5F1C
218,ATP5F1D
219,ATP5F1E
220,ATP5PB
221,ATP5MC1
222,ATP5MC2
223,ATP5MC3
224,ATP5ME
225,ATP5PF
226,ATP6V1A
227,ATP6V1B2
228,ATP6V0C
229,ATP6V1C1
230,ATP6V1E1
231,ATP6V0B
232,ATP6V1G2
233,ATP6V0A1
234,ATP6AP1
235,ATP7A
236,ATP5PO
237,ATP7B
238,ATR
239,ATRX
240,AUH
241,AUP1
242,B2M
243,BACH1
244,BAD
245,BAG1
246,BAK1
247,BARD1
248,BAX
249,BBS1
250,BBS2
251,BBS4
252,BCAT1
253,BCAT2
254,BCKDHA
255,BCKDHB
256,CCND1
257,BCL2
258,BCL2A1
259,BCL2L1
260,BCL2L2
261,BAK1P1
262,BCL3
263,BCL7A
264,BCL9
265,TNFRSF17
266,BCR
267,BCS1L
268,BCYRN1
269,BCYRN1P1
270,BDH1
271,CEACAM1
272,BICD1
273,BID
274,BIK
275,PRDM1
276,BLK
277,BLM
278,BLMH
279,CXCR5
280,BLVRA
281,BLVRB
282,BMI1
283,BMP1
284,BMP2
285,BMP3
286,BMP4
287,BMP6
288,BMP8B
289,BMPR1A
290,BMPR2
291,POLR3D
292,BNIP1
293,BNIP2
294,BNIP3
295,BNIP3L
296,DST
297,BPGM
298,BPHL
299,BRCA1
300,BRAF
301,BRCA2
302,ZFP36L1
303,ZFP36L2
304,BSG
305,BST2
306,BTD
307,KLF9
308,KLF5
309,BTF3
310,BTG1
311,BTK
312,BTN1A1
313,BUB1
314,BUB1B
315,BYSL
316,TSPO
317,C1QBP
318,C1R
319,C4A
320,C4B
321,C5
322,C5AR1
323,OSGIN2
324,VPS51
325,MRPL49
326,ZNHIT2
327,MYRF
328,TMEM258
329,FMNL1
330,LDLRAD4
331,PTTG1IP
332,CFAP410
333,TMEM50B
334,CA2
335,CA11
336,CACNA1A
337,CACNA1D
338,CACNA1E
339,DDR1
340,CACNB1
341,CACNB2
342,CACNB3
343,CACNB4
344,SLC25A20
345,CAD
346,CALD1
347,CALM1
348,CALM2
349,CALM3
350,CALR
351,CALU
352,CAMK4
353,CAMK2D
354,CAMK2G
355,CAMLG
356,CAMP
357,CANX
358,CAPG
359,CAPN1
360,CAPN2
361,CAPN3
362,CAPNS1
363,CAPS
364,CAPZA1
365,CAPZA2
366,CAST
367,CAPZB
368,CARS1
369,CASP1
370,CASP2
371,CASP3
372,CASP4
373,CASP6
374,CASP7
375,CASP8
376,CASP9
377,CASP10
378,CAT
379,CAV1
380,CAV2
381,RUNX1
382,CBFA2T3
383,RUNX3
384,CBFB
385,CBL
386,CBLB
387,SERPINH1
388,CBR1
389,CBS
390,KYAT1
391,KRIT1
392,CCNA2
393,CCNB1
394,CCNC
395,CCND2
396,CCND3
397,CCNE1
398,CCNF
399,CCNG1
400,CCNG2
401,CCNH
402,CCNT1
403,CCNT2
404,CCT6A
405,CD1C
406,CD6
407,CD9
408,CD19
409,MS4A1
410,CD22
411,CD24P4
412,CD27
413,CD28
414,CD80
415,CD86
416,TNFRSF8
417,TNFSF8
418,CD33
419,SIGLEC6
420,CD36
421,SCARB1
422,SCARB2
423,CD37
424,CD38
425,ENTPD1
426,ENTPD2
427,ENTPD6
428,ENTPD5
429,CD40
430,CD44
431,CD47
432,CD48
433,CD53
434,CD58
435,CD59
436,CD63
437,CD68
438,CD69
439,CD70
440,CD72
441,CD74
442,CD79A
443,CD79B
444,CD81
445,ADGRE5
446,CD151
447,CDK1
448,CDK11B
449,LRBA
450,CDC5L
451,SEPTIN7
452,CDC6
453,CDC20
454,CDC25A
455,CDC25B
456,CDC25C
457,CDC27
458,CDC34
459,CDC42
460,CDH1
461,CDH2
462,CDH17
463,CDK2
464,CDK4
465,CDK5
466,CDK6
467,CDK7
468,CDK8
469,CDK9
470,CDKN1A
471,CDKN1B
472,CDKN2A
473,CDKN2C
474,CDKN2D
475,CDKN3
476,CDR2
477,CD52
478,CLGN
479,CEBPB
480,CEBPD
481,CEBPG
482,CEL
483,CENPA
484,CENPB
485,CENPC
486,CENPE
487,CENPF
488,CETN2
489,CETN3
490,CETP
491,CFL1
492,CFL2
493,CTSC
494,RCBTB2
495,RCC1
496,CHD1
497,CHD2
498,CHD3
499,CHD4
500,CHEK1
501,FOXN3
502,CHI3L1
503,CHI3L2
504,CHKA
505,CHKB
506,CHM
507,CHML
508,LYST
509,CHRNA5
510,CHRNB1
511,CHUK
512,CKB
513,CIRBP
514,CISH
515,TBCB
516,ERCC8
517,CKS1B
518,CKS2
519,AP2M1
520,AP1S1
521,AP2S1
522,AP3S1
523,CLCN2
524,CLCN3
525,CLCN4
526,CLCN5
527,CLCN6
528,CLCN7
529,CLU
530,CLIC1
531,CLIC2
532,CLK1
533,CLK2
534,CLK3
535,TPP1
536,CLN3
537,CLN5
538,CLNS1A
539,CLPTM1
540,CLTA
541,CLTB
542,CLTC
543,CMA1
544,CCR1
545,CCR4
546,CCR6
547,CCR7
548,CCR8
549,CMKLR1
550,LTB4R
551,ABCC2
552,PLK3
553,CNN2
554,CNN3
555,CNP
556,CNR1
557,CNR2
558,CNTF
559,COL1A1
560,COL4A2
561,COL4A3
562,COL4A4
563,COL5A1
564,COL5A2
565,COL6A1
566,COL7A1
567,COL9A2
568,COL11A2
569,COL16A1
570,COL19A1
571,COMT
572,COPA
573,COPB1
574,KLF6
575,SLC31A1
576,MAP3K8
577,COX4I1
578,COX5B
579,COX6A1
580,COX6B1
581,COX6C
582,COX7A2
583,COX7B
584,COX7C
585,COX8A
586,COX10
587,COX11
588,COX15
589,CPD
590,CPM
591,CPOX
592,CPS1
593,CPT1A
594,CPT1B
595,CPT2
596,CR1
597,CR2
598,CRAT
599,CREB1
600,ATF2
601,CREBBP
602,ATF6B
603,CREBL2
604,CREM
605,CRIP1
606,CRK
607,CRKL
608,CRY1
609,CRY2
610,CRYBB2P1
611,CRYGS
612,CRYM
613,CRYZ
614,CS
615,MAPK14
616,CSE1L
617,CSF1
618,CSF2RB
619,CSK
620,CSNK1A1
621,CSNK1D
622,CSNK1E
623,CSNK1G2
624,CSNK1G3
625,CSNK2A1
626,CSNK2A2
627,CSNK2B
628,VCAN
629,NCAN
630,CSPG4
631,CSRP1
632,CSRP2
633,CSRP2P1
634,SLC25A10
635,CST3
636,CSTB
637,CSTF1
638,CSTF2
639,CSTF3
640,CTBS
641,CTBP1
642,CTBP2
643,CTH
644,CTNNA1
645,CTNNA2
646,CTNS
647,CTNNB1
648,CTNND1
649,CTPS1
650,CTRL
651,CTSB
652,CTSD
653,CTSH
654,CTSK
655,CTSO
656,CTSS
657,CTSW
658,CTSZ
659,CUX1
660,CXADR
661,CYB5A
662,CYB561
663,CYBA
664,CYBB
665,CYC1
666,CYLD
667,CYP1A1
668,CYP1B1
669,CYP2D7
670,CYP2J2
671,CYP27A1
672,CYP27B1
673,CYP51A1
674,DAD1
675,CD55
676,DAG1
677,DGKA
678,DGKG
679,DGKQ
680,DAP
681,DAPK1
682,DAPK3
683,DARS1
684,DAXX
685,DAZL
686,DBI
687,DBN1
688,DBP
689,DBT
690,ECI1
691,DCK
692,DCTD
693,DCTN1
694,DDB1
695,DDB2
696,GADD45A
697,DDIT3
698,DDOST
699,DDT
700,DDX1
701,DDX3X
702,DDX5
703,DDX6
704,DMXL1
705,DHX8
706,DHX9
707,DDX10
708,DDX11
709,DHX15
710,DECR1
711,DFFA
712,DFFB
713,TIMM8A
714,GSDME
715,COCH
716,DGUOK
717,DHCR7
718,DHCR24
719,DHFR
720,DHODH
721,DHPS
722,CYB5R3
723,NQO1
724,DIAPH1
725,DIAPH2
726,SEPTIN1
727,DKC1
728,DLAT
729,DLD
730,DLG1
731,DLG2
732,DLG3
733,DLG4
734,DLST
735,DLSTP1
736,DMD
737,DMPK
738,DMWD
739,DNA2
740,DNAH6
741,DNAH8
742,DNASE1
743,DNASE1L1
744,DNASE1L2
745,DNASE1L3
746,DNASE2
747,DYNC1H1
748,DYNC1I2
749,DYNC1LI2
750,DNM2
751,DNMT1
752,TRDMT1
753,DNMT3A
754,DNMT3B
755,DOCK2
756,DOK1
757,DXO
758,DPAGT1
759,DPH1
760,DPH2
761,DPP4
762,DPYD
763,DPYSL2
764,DPYSL3
765,DR1
766,DRG2
767,ARID3A
768,ATN1
769,DSC2
770,DSC3
771,RCAN1
772,DSG2
773,TSC22D3
774,SLC26A2
775,DTNB
776,HBEGF
777,DTX1
778,DTYMK
779,DUSP1
780,DUSP2
781,DUSP3
782,DUSP4
783,DUSP5
784,DUSP6
785,DUSP7
786,DUT
787,DVL1
788,DVL2
789,DVL3
790,DYRK1A
791,TOR1A
792,E2F1
793,E2F2
794,E2F3
795,E2F4
796,E2F5
797,E2F6
798,E4F1
799,EBF1
800,GPR183
801,ECE1
802,TYMP
803,ECH1
804,ECHS1
805,ECM1
806,ECT2
807,S1PR1
808,LPAR1
809,EDN1
810,EDNRA
811,EDNRB
812,PHC1
813,PHC2
814,EEF1A1
815,EEF1A2
816,EEF1A1P43
817,EEF1B2
818,EEF1D
819,EEF1G
820,EEF2
821,EIF2D
822,EFNA1
823,EFNA3
824,EFNA4
825,EFNA5
826,EFNB1
827,EFNB2
828,CELSR3
829,CELSR2
830,MEGF6
831,MEGF8
832,MEGF9
833,EGR1
834,EGR2
835,EGR3
836,EHHADH
837,EIF1AX
838,EIF2S1
839,EIF2B1
840,EIF2S3
841,EPHA2
842,EIF4A1
843,EIF4A2
844,EIF4B
845,EIF4E
846,EIF4EBP1
847,EIF4EBP2
848,EIF4G1
849,EIF4G2
850,EIF5
851,EIF5A
852,SERPINB1
853,ELAVL1
854,ELF1
855,ELF2
856,ELF3
857,ELF4
858,ELK1
859,ELK3
860,ELK4
861,EMD
862,MARK2
863,EMP1
864,EMP3
865,ADGRE1
866,EMX1
867,CTTN
868,ENDOG
869,ENG
870,ENO1
871,ENO2
872,ENO3
873,ENSA
874,SLC29A1
875,EP300
876,EPAS1
877,EPB41
878,EPB41L2
879,STOM
880,EPHA4
881,EPHB1
882,EPHB2
883,EPHB4
884,EPHB6
885,EPHX1
886,EPHX2
887,STX2
888,CLN8
889,EPOR
890,EPRS1
891,EPS8
892,EPS15
893,NR2F6
894,ERBB2
895,ERCC1
896,ERCC2
897,EREG
898,ERCC3
899,ERCC4
900,ERCC5
901,ERCC6
902,ERF
903,ERH
904,ERN1
905,ERV3-1
906,FBL
907,ESD
908,ESR2
909,ESRRA
910,ETF1
911,ETFA
912,ETFB
913,ETFDH
914,ETS1
915,ETS2
916,ETV3
917,ETV4
918,ETV5
919,ETV6
920,EVC
921,EVI2A
922,EVI2B
923,EWSR1
924,EXT1
925,EXT2
926,EXTL2
927,EXTL3
928,EYA2
929,EYA3
930,EZH1
931,EZH2
932,F2R
933,F5
934,F8
935,F12
936,F13A1
937,FAAH
938,FABP3
939,FABP5
940,FANCA
941,FANCC
942,FANCD2
943,FANCE
944,ACSL1
945,ACSL3
946,ACSL4
947,FAH
948,PTK2B
949,BPTF
950,FANCB
951,FANCF
952,FANCG
953,FARSA
954,FASN
955,FAT1
956,FAU
957,FBN1
958,FBN2
959,FCER2
960,FCGR2A
961,FCGR2B
962,FCGRT
963,FKTN
964,FDFT1
965,FDPS
966,FDX1
967,FDXR
968,FECH
969,FEN1
970,GPC4
971,FER
972,FES
973,FGF2
974,FGF11
975,FGFR1
976,GPC5
977,FGFR4
978,FGR
979,FH
980,FHIT
981,FHL1
982,FHL2
983,FHL3
984,FKBP1A
985,FKBP2
986,FKBP3
987,FKBP4
988,FKBP5
989,FOXG1
990,FOXC1
991,FOXM1
992,FOXO1
993,FOXO3
994,FOXO3B
995,FLI1
996,FLII
997,FLNA
998,FLNB
999,FLOT2
1000,FLT1
1001,FLT3
1002,FLT3LG
1003,FMO4
1004,FMO5
1005,FMR1
1006,FN1
1007,FNTA
1008,FNTB
1009,FOS
1010,FOSB
1011,FOSL2
1012,FPGS
1013,FXN
1014,FRK
1015,MTOR
1016,FRG1
1017,CENPI
1018,FTH1
1019,FTH1P2
1020,FTH1P7
1021,FTH1P8
1022,FTH1P10
1023,FTH1P16
1024,FTL
1025,FUCA1
1026,FUCA2
1027,FUS
1028,FUT4
1029,FUT7
1030,FUT8
1031,KDSR
1032,ACKR1
1033,FYB1
1034,FYN
1035,IFI6
1036,G6PD
1037,SLC37A4
1038,XRCC6
1039,GAA
1040,GAB1
1041,GABBR1
1042,GABPA
1043,GABPB1
1044,GABRA4
1045,GABRB2
1046,GABRR2
1047,GAD1
1048,GAK
1049,GALC
1050,GALE
1051,B4GALNT1
1052,GALK1
1053,GALK2
1054,GALNS
1055,GALNT1
1056,GALNT2
1057,GALNT3
1058,GALT
1059,GAMT
1060,GANC
1061,GAP43
1062,GAPDH
1063,GARS1
1064,GART
1065,GAS2
1066,GAS6
1067,GAS8
1068,GATA3
1069,GATA4
1070,GATM
1071,GBA
1072,GBAP1
1073,NIPSNAP2
1074,GBE1
1075,GBP1
1076,GBP2
1077,GBP3
1078,GCDH
1079,GCGR
1080,GCH1
1081,GCHFR
1082,BLOC1S1
1083,KAT2A
1084,NR6A1
1085,GCNT1
1086,GCNT2
1087,GCSH
