,Autism,HAUS4,RNF181,KXD1,C1orf86,IRAK1,VIM-AS1,PDIA5,ACOT2,PDLIM2,COPE,HIST1H2BH,MCM5,WDR18,PTRHD1,RCN3,KCNG1,PCDHGC3,DPP7,ARHGEF19,GAPDH,HIST2H2BA,RPL27A,MFSD11,RPS14,DDIT4,EXOSC5,RPS2,RPS5,RPSAP58,C19orf33,SNAPC2,EPN1,PMF1,LSM12,LGALS3,LY6E,TMEM177,RPLP0,HIST1H4F,SLC1A5,TOP1MT,NOA1,EFNA1,GUSB,PGF,DDT,SARS2,IER5L,SNORA80,RPL32,TERC,FBL,NENF,POP7,RPL18,RAB20,CHEK1,SLC16A3,CLN6,DNAJC15,TMED3,MRPS34,LOC284889,SERINC2,EIF3F,RPSAP9,RPL28,MIF,C19orf48,ATF4,RFC2,GNB2L1,HPN,RPL13AP20,NFKBIB,RASSF7,RPL39L,INPP5F,XRCC1,HIST1H2BC,C8orf82,ECHDC3,TMUB1,RPL35,EXOSC6,HMGA1,ETHE1,THOC6,GAS5,RPL10,ARPC2,SNORA84,YDJC,HAUS7,WFDC2,VPS37B,DDTL,GLTSCR2,CAPG,CBS,RPL21,WRB,ZDHHC21,FAM199X,ABHD3,HNRNPH3,TMPO,CCDC126,FAM57B,ZIC3,WSCD1,ABHD13,ETNK1,PYGO1,YPEL3,KBTBD6,CXADR,RFK,PAGR1,MAZ,PRRT2,ID4,WIPI2,FANCF,THAP2,KCTD13,CDIPT,TMEM55A,MAPK3,LIN7C,ZDHHC2,TMEM38B,TMEM219,HIF1A-AS2,RHOBTB2,IPW,CORO1A,TAOK2,CPT1B,LYRM5,C7orf73,TMEM65,TCEAL1,SCOC,RNF11,PPP4C,SNRNP27,INO80E,KLHL42,C16orf52,PCDHGB6,UBE2D1,RFX3,TMEM41B,RNF138,ILDR2,ZC2HC1A,STAU2
PGP1-1,0.0,12.629804,76.525449,30.429274,7.280333,10.55595,125.905261,8.136986,1.948624,2.679615,94.791091,160.063357,18.468075,20.082814,22.543668,9.17449,2.330272,4.740973,11.41031,2.390751,2006.887149,20.827422,109.579929,4.538817,1340.504889,138.817824,9.388703,1277.826147,922.82782,38.984912,4.915163,1.903701,11.845979,29.973414,16.427473,20.74384,24.945701,4.241957,1410.948789,0.0,14.701599,1.20016,6.494111,5.628244,5.868638,2.532837,28.935153,7.372382,4.527583,79.69465,434.992666,53.763709,55.51265,20.826251,15.526388,703.23222,3.01987,3.796935,29.944487,3.787881,7.297437,37.001863,23.233645,39.724184,5.169527,197.310523,8.724472,130.298885,84.256061,22.23329,194.364363,11.302102,937.094057,2.969571,7.887476,2.353701,4.628339,14.9668,17.480784,18.243908,431.410219,5.578606,3.556374,8.778082,1222.242785,11.463726,40.785566,8.530345,9.720683,200.433126,430.540617,26.591512,447.783083,3.248538,8.091745,3.789209,8.416603,2.188396,66.227433,6.761385,11.389178,709.260044,26.504363,3.12674,5.417272,2.731135,15.231376,12.612473,4.571147,5.554831,13.599437,16.704662,4.536405,8.682237,4.845854,10.581344,9.115376,18.727385,9.290227,7.762826,46.724164,3.231076,44.115194,4.240699,7.460585,3.39602,2.905956,14.040725,7.592894,13.024909,15.803512,5.891768,8.820364,29.372423,11.392426,5.712593,1.436472,7.201432,7.586263,2.465074,9.663243,14.569138,5.720941,4.597025,40.151046,28.422738,46.775324,20.917766,15.153785,6.978103,3.578051,11.786147,8.772098,4.390357,11.675236,8.758149,4.535768,7.779318,7.5628
PGP1-2,0.0,7.479163,64.371712,25.723551,8.316094,9.193199,105.934341,8.197034,2.535708,2.340497,68.943063,152.315182,10.911219,17.174576,23.200101,7.527925,1.653368,5.802229,21.313888,1.910369,1345.56958,13.378462,118.927458,3.771969,1327.156006,90.243921,8.304634,1360.732881,802.366694,31.100567,2.792153,3.626717,10.405385,15.952008,12.641117,14.695043,30.305919,4.0575,1311.98344,0.0,15.153434,1.306422,8.808989,7.960689,5.721148,3.758482,22.959394,5.781209,4.522758,23.068235,402.446208,71.160441,57.237726,12.734184,10.77834,607.614449,1.717132,4.203756,9.387207,3.211062,5.588632,35.541153,22.185288,29.613702,5.603568,169.66347,6.693998,157.514376,71.711264,16.616293,163.160853,9.740307,924.866465,2.008027,6.966266,1.745804,4.208071,9.814256,27.370049,13.352001,410.702279,4.060511,3.805631,7.804925,1017.025629,6.603354,32.80117,6.404395,9.837585,183.799093,349.66368,30.572336,205.569942,4.135773,7.191334,5.848073,6.645089,2.227299,48.590188,8.134208,9.798095,388.134461,28.054224,2.511696,5.805649,2.684173,23.659439,10.260825,2.698379,3.839487,6.746706,11.767563,3.621681,8.988392,6.107316,9.352524,6.662378,13.159651,6.322023,7.317794,25.234877,4.148965,24.491927,2.087329,4.760106,3.146245,2.435977,14.354755,7.392997,9.462035,13.558563,5.523639,5.416527,34.019145,10.577273,3.335106,2.567849,3.316068,4.888596,2.365017,8.254244,12.214612,5.661094,4.623318,31.321198,22.742314,29.55703,14.805842,8.527947,5.732223,2.880756,8.945203,5.686884,9.28321,7.221791,6.999756,5.966492,5.213709,4.653565
PGP1-3,0.0,4.118585,35.200909,19.739899,6.307552,1.128194,104.386052,2.946072,1.31937,1.068997,59.583202,74.992992,4.629137,11.038322,17.295123,4.017512,3.617624,6.409184,3.780126,0.73953,1154.13574,6.414554,82.011732,3.104097,799.472348,109.750927,6.470885,677.999397,499.188589,25.357623,0.0,1.258865,8.162305,10.600733,11.667848,4.722944,7.024349,2.87902,628.534059,6.151397,5.05838,1.709439,7.220832,1.017848,2.961137,0.181485,20.962223,3.33173,3.277886,114.00915,292.911416,19.917013,22.297737,8.912605,22.02601,273.808227,0.668805,1.077916,8.121734,1.997756,5.396807,26.848795,22.868515,28.594376,3.468493,128.415918,6.790384,56.875363,67.282925,7.008615,145.107576,6.232106,569.760999,0.0,4.319373,1.203997,5.572083,9.153212,13.066802,11.292594,156.662449,3.130873,1.828598,5.728279,652.486192,8.336125,21.159016,3.844318,4.66298,125.335157,183.561768,31.701624,150.962164,3.389444,3.433455,3.55379,8.455788,1.612122,39.109177,0.458506,8.064902,76.976106,38.704469,5.553648,12.667485,3.095375,16.76367,13.671799,6.27373,10.644994,18.566469,14.116341,3.265002,9.646659,8.009257,18.85437,15.744806,36.451925,20.999824,5.420986,32.39008,14.803594,37.134255,5.871022,6.942999,6.417052,12.102885,13.73337,10.274621,9.008366,25.022614,7.236238,3.237452,17.981095,7.562597,7.45741,2.104982,8.618304,12.776851,3.95814,9.22155,14.450988,7.315778,18.792992,48.946169,37.132657,30.465682,15.171927,12.07423,10.292776,6.064095,27.506405,12.761038,5.833062,7.859384,5.692169,6.851906,12.679813,7.16144
GM23716-1,0.0,3.836036,34.668537,19.047699,4.057933,1.172776,87.691828,2.940691,1.239815,0.532084,52.508074,62.811323,4.516496,9.080845,13.935636,4.155891,3.587623,6.039175,3.987099,0.659146,1090.24976,5.731274,71.861449,2.981769,718.78849,100.833038,7.457141,639.805641,453.926174,24.117136,0.440912,1.910042,7.296304,9.710859,12.34981,3.985873,8.572988,2.333685,575.414416,7.669259,4.028251,1.664276,6.810954,1.502433,2.362847,0.952392,18.904595,3.222405,3.208152,80.454797,265.554678,14.900841,23.836855,5.413812,21.404069,237.195182,0.484729,1.03618,11.175134,2.218548,5.077414,27.041584,20.190276,23.38141,2.900423,115.230843,7.118477,59.597432,55.957329,7.611262,135.558614,7.999323,510.916381,0.0,3.603732,1.341919,5.077971,8.28643,12.502822,11.836625,134.762175,3.153367,1.296074,3.64059,571.124948,7.42955,20.559121,3.950526,3.7381,116.906367,162.249182,34.394124,167.647997,3.027097,3.6102,3.154884,9.292492,1.372464,33.607892,0.426312,9.17128,256.019422,35.798209,5.344425,13.020699,2.772773,18.39351,12.095764,5.857237,10.755755,18.000422,14.141915,3.411521,10.23737,8.235541,18.389544,15.501342,35.581329,21.533769,5.327035,33.566451,13.260927,36.351199,6.205062,6.98254,6.378934,10.963,13.43681,9.648626,10.390357,24.865726,7.374135,2.963668,17.855602,7.095965,8.366496,2.777155,7.000345,13.01985,4.488366,8.265892,15.03197,8.535134,17.006174,48.994818,35.466399,29.061212,13.521369,11.771332,10.138596,5.483229,27.734439,12.329933,5.918293,8.301403,5.240994,6.654243,13.100313,7.339162
GM23716-2,0.0,4.588342,31.756722,19.372522,6.031917,0.62148,121.517858,2.507901,1.562625,0.931017,55.23409,68.470089,4.575262,13.822959,14.32612,3.976957,4.201292,6.809811,4.185155,0.736999,1078.506878,8.636461,67.636745,3.501175,711.585903,113.20794,6.553272,698.702355,456.526152,22.34928,0.163395,3.44208,10.581752,9.09038,12.864757,4.287711,8.436535,3.925105,596.601557,6.612001,5.576614,1.730112,7.310927,1.363715,2.683973,0.103566,19.353305,3.547525,5.245182,79.172524,249.758421,25.012583,25.494094,7.119,24.462442,241.448438,0.758219,0.932814,12.768546,2.40911,4.360954,23.842606,27.678568,26.087526,2.725969,126.999753,6.486394,62.441782,92.23998,6.966885,122.933196,5.929986,524.997867,0.0,3.623256,2.095217,6.051094,7.789637,11.663953,11.394689,148.061302,4.287528,1.250781,5.737946,506.08118,9.419949,22.470707,3.674672,3.882811,101.444373,160.006004,33.369468,139.742062,4.174591,4.398849,2.544125,9.895487,2.333753,37.477668,0.346309,7.890759,86.74782,35.308639,4.256343,10.764806,2.892617,18.644645,12.28611,5.931477,14.481259,18.125853,16.746839,2.620225,8.637886,7.027094,15.848853,14.724754,30.878469,18.901037,5.635079,28.636899,15.405094,33.227334,5.202361,7.026956,5.200924,13.795758,16.191236,9.3174,9.406229,23.234259,6.433809,2.805313,15.779699,7.359273,9.807273,2.471093,8.153676,14.42278,4.933707,6.506611,12.752664,7.01957,19.199953,37.444415,32.821542,30.068766,12.338351,11.178893,9.259207,4.834569,30.732222,12.876661,5.018022,7.464295,2.856071,7.252019,12.767415,8.087068
GM23716-3,0.0,9.912152,43.813784,26.690727,5.905528,7.349167,67.828967,5.756569,2.406409,0.957227,38.233942,144.044939,11.548647,15.546921,18.999465,3.670043,2.883393,6.029213,31.343503,1.564461,880.430544,4.100204,110.704497,3.753723,1109.436343,56.671823,7.387394,1231.276072,692.691436,20.086427,3.456625,3.364079,14.914559,10.178593,14.709745,9.727999,21.635499,1.423908,1132.997135,99.195008,16.789578,3.511495,6.246031,6.922993,5.66604,3.296359,15.705595,4.946635,4.333019,117.790296,376.850092,114.907578,37.414759,17.954674,12.89895,671.417166,2.181367,1.282872,14.906288,2.886076,5.860295,29.565777,30.766586,25.152724,4.509435,139.610458,3.733837,147.277305,58.913411,10.430658,149.749657,5.217539,1038.364984,1.796901,5.192038,3.067424,3.99117,5.225833,0.789156,15.293657,314.743163,5.065149,4.85549,11.87532,1118.956818,8.577254,34.674222,10.591698,9.597192,149.774904,290.704298,39.831891,139.072777,4.399763,2.56314,3.071357,6.561603,1.280267,63.310363,12.992125,14.047432,282.994666,15.330453,2.030007,4.425143,2.938441,24.276195,13.920432,5.255021,6.911533,4.786861,7.585171,3.101415,6.321072,5.623903,19.131112,7.209516,12.965838,8.269553,9.005042,30.351596,6.656929,10.349249,6.933542,5.350306,4.174777,2.75456,25.093108,9.760596,15.0961,11.374015,7.151707,5.939336,31.605818,6.392163,8.356234,1.878003,1.522745,4.64985,4.837298,7.727736,13.410523,2.480636,4.730962,25.578767,30.426631,43.552804,10.177082,11.396201,6.608952,2.660376,6.573164,5.923242,4.589486,8.419974,4.049127,9.816788,4.092287,5.463718
GM23720-1,0.0,10.458898,35.251446,20.774187,3.003777,4.562931,55.797999,5.30364,1.490959,1.744957,38.075788,127.404686,7.638458,13.11337,15.630516,3.252985,2.108954,5.982114,25.774593,1.404455,762.061325,3.841531,94.42007,2.793814,932.679127,51.194822,5.92628,989.946519,545.592463,16.255087,4.199485,3.016625,11.121363,6.532188,12.987307,9.027232,25.256112,0.367518,949.493942,95.610536,13.674852,3.411446,6.807052,5.349896,5.623809,2.16572,14.18509,3.844771,3.810381,36.44838,322.248313,89.385095,34.58752,12.672292,11.048075,530.317991,1.283374,1.698202,8.409561,2.086639,6.041904,24.271812,24.883424,18.955944,1.88271,128.10744,3.204307,116.099546,47.175951,7.391419,117.071254,5.240294,878.520255,1.695715,5.622399,2.375682,3.436634,3.850091,2.61353,13.37757,265.780192,4.601149,4.679082,8.615155,905.32356,6.199644,26.878396,9.502167,7.328833,154.453174,239.799875,37.313564,43.133386,3.920103,2.935076,1.33117,5.724501,1.427917,46.596345,9.416237,10.677827,245.276917,16.296635,2.666293,5.556172,2.776042,18.787819,12.418812,5.130599,6.214236,5.247113,6.924644,3.281085,7.356472,6.404965,14.513029,7.655863,15.543787,8.473592,8.2317,25.862001,3.116901,11.575686,5.665084,4.762447,4.848347,2.112754,22.707627,10.12262,13.157441,13.611214,7.436716,5.669962,24.528242,7.343203,7.247616,2.18725,1.413316,3.85693,2.996454,6.854926,13.694738,3.162267,4.949288,26.846684,30.020937,33.922555,11.08705,8.751172,7.227333,2.665319,5.844039,6.046537,5.279451,8.677408,3.578179,9.934757,4.155185,6.27074
GM23720-2,0.0,7.821313,44.119608,24.069817,4.415775,5.70452,68.152699,4.993075,1.66367,1.663028,38.58213,121.708152,8.026289,13.783548,17.073199,3.816268,3.108953,6.544038,33.607152,1.407007,801.101411,3.280061,106.076637,3.305081,982.48413,59.542605,6.52893,1094.68445,616.064432,18.041037,3.100737,5.217597,15.143499,7.82727,14.967425,8.669922,28.295447,1.212666,1032.842429,98.086253,20.95172,3.288624,6.966018,7.516272,5.968332,2.803515,16.412782,4.041552,4.184403,48.552872,356.030949,114.508696,33.076196,15.192597,11.020942,624.339879,2.12016,1.416621,11.214751,2.27239,7.05501,28.770581,29.504901,22.006328,3.436339,138.660526,4.204412,124.857449,52.493209,9.428175,152.238669,5.923902,961.143152,1.907212,5.80371,3.492739,3.870842,4.165848,2.973106,14.381493,286.287265,5.405483,6.492703,10.739982,941.9162,7.160543,29.445049,8.863886,7.793884,145.057141,257.371873,41.7468,92.131461,4.267193,3.342067,1.718472,6.905922,1.448408,58.262,13.965433,9.79106,341.457507,16.741077,2.141917,5.172675,3.000498,22.274021,13.713452,5.137607,6.857695,5.629083,7.380498,3.698729,7.579967,6.18421,18.811227,7.620309,14.89329,9.261836,9.076195,28.457444,3.110907,11.728482,5.942375,5.236852,5.381935,2.639071,29.354594,11.933852,16.2695,14.507542,7.527686,7.822594,27.604572,6.896806,7.4185,1.740655,1.461555,4.491384,4.785081,6.760292,13.890743,3.197,5.518247,28.222842,33.582432,40.263367,11.433431,9.305533,7.188274,2.907657,6.658836,5.82567,3.871473,9.497258,3.827927,8.36023,4.032001,4.877152
GM23720-3,0.0,8.683399,43.563699,17.663865,2.412705,2.035357,169.067568,5.819265,1.145385,2.313064,53.052115,143.277372,9.371194,13.073723,15.727292,5.094534,5.286287,13.012424,8.824681,1.110528,1118.934966,6.001118,73.501049,3.550583,867.423544,80.984791,5.838489,851.164092,512.448091,21.228099,0.9604,2.858211,12.61235,12.959207,11.565299,11.246209,16.398277,2.705515,927.612037,29.407399,12.574682,2.256614,5.485287,3.120203,4.461983,1.733242,16.792791,5.703777,3.634672,98.501902,274.206469,17.680779,26.619372,13.483676,15.523638,420.328533,1.190621,1.128675,12.959885,2.531758,3.122263,26.248665,22.590686,22.120568,6.204126,139.519543,4.833666,77.31816,47.752719,16.322029,112.06797,6.523417,654.329586,0.962352,4.629557,1.999609,5.365407,8.420147,7.025465,12.079748,247.452639,3.759004,1.899572,6.340334,709.203721,8.76296,23.303606,7.570556,6.20497,113.15586,280.610582,11.966942,203.707655,3.539555,3.988156,1.567436,7.271739,1.825866,45.158552,3.579529,9.533343,130.423799,24.447594,4.388249,5.294597,3.893967,8.862925,12.455451,3.831689,8.824833,12.141386,10.582084,2.963212,8.511465,5.859863,15.10373,9.873922,18.838146,9.415787,8.528911,33.063078,13.315664,42.27978,5.22031,5.960435,4.580255,5.560525,14.368702,6.817819,13.363123,12.656097,6.030862,5.445486,12.205506,6.953167,6.178041,5.715884,6.642284,9.881056,5.339469,7.364286,11.867705,6.663627,7.108419,21.681859,23.477887,31.897963,12.279736,12.033249,5.959817,3.815319,22.01103,8.181856,8.387479,8.079595,5.538449,10.021024,7.466103,5.580696
GM25256-1,0.0,7.40828,52.418069,24.829219,3.390212,3.846286,175.070277,6.132774,1.599955,2.343113,69.601774,201.598586,9.926293,17.594109,21.465226,4.841747,4.586009,13.196728,7.844996,0.866844,1350.059071,7.657383,101.352066,3.351692,1228.825122,99.985136,9.383982,1438.934067,714.784817,30.327848,1.229851,1.944063,10.513975,12.896989,14.363432,17.299938,17.300543,1.451802,1385.701038,31.889426,9.674993,1.423278,6.915854,2.908852,4.483376,1.481643,23.925074,5.661514,3.925078,71.121003,402.4112,20.983265,52.992167,12.942328,21.933168,582.994493,1.185707,0.497953,10.602388,3.194238,3.659794,35.605756,28.270208,30.953366,6.947092,167.803687,6.453129,129.706175,71.547689,16.893783,115.697316,5.933951,849.182012,0.72646,6.191164,2.852613,3.945562,11.976717,6.155839,14.176863,344.842147,3.576902,2.536487,7.529567,1058.49167,6.656393,28.852747,9.578948,7.590406,159.955422,361.728688,14.468034,129.285137,3.47898,4.243722,0.609243,7.756033,1.846105,69.409458,3.780195,9.182215,568.125502,38.284295,5.184936,5.567923,3.492457,7.694841,21.355963,5.536169,11.163159,12.769967,12.559033,2.770044,11.724339,5.876626,15.708972,12.712569,25.086582,15.084177,5.243005,39.73083,10.75636,50.874225,4.260082,8.076003,6.405647,7.313847,14.639809,7.898021,13.620297,14.185129,7.652487,6.672291,26.058057,9.136154,5.487324,3.03941,7.582513,10.006552,1.44943,11.07646,19.462091,8.098244,9.086624,39.837818,29.551361,43.693611,13.370154,12.293747,5.196052,4.458937,16.715349,14.326769,8.214395,9.541212,9.347709,7.652291,10.139093,7.744258
